Genome	map00010	map00020	map00030	map00040	map00051	map00052	map00053	map00061	map00130	map00220	map00230	map00240	map00250	map00260	map00261	map00270	map00280	map00290	map00300	map00310	map00311	map00330	map00332	map00340	map00350	map00360	map00362	map00380	map00400	map00401	map00430	map00440	map00450	map00460	map00470	map00480	map00500	map00510	map00513	map00520	map00521	map00523	map00525	map00540	map00541	map00550	map00552	map00561	map00562	map00564	map00566	map00600	map00620	map00621	map00622	map00625	map00626	map00630	map00640	map00643	map00650	map00660	map00670	map00680	map00710	map00720	map00730	map00740	map00750	map00760	map00770	map00780	map00790	map00791	map00860	map00900	map00909	map00910	map00920	map00940	map00970	map00984	map00997	map00998	map00999	map01040	map01053	map01055	map01100	map01110	map01120	map01200	map01210	map01212	map01220	map01230	map01232	map01240	map01250	map01310	map01320	rn00010	rn00020	rn00030	rn00040	rn00051	rn00052	rn00053	rn00061	rn00130	rn00220	rn00230	rn00240	rn00250	rn00260	rn00261	rn00270	rn00280	rn00290	rn00300	rn00310	rn00311	rn00330	rn00332	rn00340	rn00350	rn00360	rn00362	rn00380	rn00400	rn00401	rn00430	rn00440	rn00450	rn00460	rn00470	rn00480	rn00500	rn00510	rn00513	rn00520	rn00521	rn00523	rn00525	rn00540	rn00541	rn00550	rn00552	rn00561	rn00562	rn00564	rn00566	rn00600	rn00620	rn00621	rn00622	rn00625	rn00626	rn00630	rn00640	rn00643	rn00650	rn00660	rn00670	rn00680	rn00710	rn00720	rn00730	rn00740	rn00750	rn00760	rn00770	rn00780	rn00790	rn00791	rn00860	rn00900	rn00909	rn00910	rn00920	rn00940	rn00970	rn00984	rn00997	rn00998	rn00999	rn01040	rn01053	rn01055	rn01100	rn01110	rn01120	rn01200	rn01210	rn01212	rn01220	rn01230	rn01232	rn01240	rn01250	rn01310	rn01320
GCF_000008445.1	3	3	7	3	1	2	1	0	4	1	10	4	5	8	3	16	0	0	6	1	0	3	0	5	0	0	0	0	8	0	0	2	0	1	7	1	2	0	0	4	4	3	1	0	5	3	1	7	3	2	2	0	10	0	0	0	0	8	3	0	2	0	5	4	11	3	5	3	0	5	4	2	4	0	6	7	0	4	1	0	5	0	0	1	0	0	2	1	144	68	41	29	3	0	0	25	7	34	7	2	0	3	3	7	3	1	2	1	0	4	1	10	4	5	8	3	16	0	0	6	1	0	3	0	5	0	0	0	0	8	0	0	2	0	1	7	1	2	0	0	4	4	3	1	0	5	3	1	7	3	2	2	0	10	0	0	0	0	8	3	0	2	0	5	4	11	3	5	3	0	5	4	2	4	0	6	7	0	4	1	0	5	0	0	1	0	0	2	1	144	68	41	29	3	0	0	25	7	34	7	2	0
GCF_000008465.1	4	3	4	2	1	1	0	0	1	1	14	5	6	7	1	3	1	0	6	0	0	7	2	8	0	0	0	0	13	1	0	0	0	0	6	6	1	0	0	7	2	2	2	2	6	5	1	1	1	2	1	0	8	0	0	0	0	3	4	0	2	0	2	4	7	4	3	8	3	3	3	3	8	0	8	7	0	1	2	0	5	0	0	1	0	0	0	1	150	72	35	22	2	0	0	34	7	43	10	0	0	4	3	4	2	1	1	0	0	1	1	14	5	6	7	1	3	1	0	6	0	0	7	2	8	0	0	0	0	13	1	0	0	0	0	6	6	1	0	0	7	2	2	2	2	6	5	1	1	1	2	1	0	8	0	0	0	0	3	4	0	2	0	2	4	7	4	3	8	3	3	3	3	8	0	8	7	0	1	2	0	5	0	0	1	0	0	0	1	150	72	35	22	2	0	0	34	7	43	10	0	0
GCF_000009265.1	7	5	12	7	6	3	1	0	0	9	16	8	12	14	1	9	2	1	6	0	0	5	2	9	1	0	2	0	12	0	0	0	0	1	8	6	3	0	0	14	7	6	3	2	14	6	1	10	5	2	1	0	10	0	0	1	0	14	2	1	3	0	11	8	11	9	5	9	1	3	3	0	3	2	19	9	0	12	6	0	6	0	0	2	0	0	0	1	241	100	73	37	4	0	2	49	8	48	23	4	2	7	5	12	7	6	3	1	0	0	9	16	8	12	14	1	9	2	1	6	0	0	5	2	9	1	0	2	0	12	0	0	0	0	1	8	6	3	0	0	14	7	6	3	2	14	6	1	10	5	2	1	0	10	0	0	1	0	14	2	1	3	0	11	8	11	9	5	9	1	3	3	0	3	2	19	9	0	12	6	0	6	0	0	2	0	0	0	1	241	100	73	37	4	0	2	49	8	48	23	4	2
GCF_000009305.1	3	1	5	2	1	1	0	0	0	1	4	6	5	7	1	5	0	0	5	0	0	1	0	0	0	0	0	0	13	1	0	0	0	1	6	2	1	0	0	6	0	0	0	2	5	4	0	1	0	3	1	0	2	0	0	0	0	3	0	0	0	0	3	3	3	3	1	3	1	1	3	2	4	0	7	7	0	2	1	0	4	0	0	1	0	0	0	0	92	51	24	13	2	0	0	28	4	27	9	0	0	3	1	5	2	1	1	0	0	0	1	4	6	5	7	1	5	0	0	5	0	0	1	0	0	0	0	0	0	13	1	0	0	0	1	6	2	1	0	0	6	0	0	0	2	5	4	0	1	0	3	1	0	2	0	0	0	0	3	0	0	0	0	3	3	3	3	1	3	1	1	3	2	4	0	7	7	0	2	1	0	4	0	0	1	0	0	0	0	92	51	24	13	2	0	0	28	4	27	9	0	0
GCF_000009365.1	4	1	3	2	1	1	1	0	0	5	13	8	6	7	1	8	1	2	8	0	0	4	2	5	0	0	0	0	9	1	0	0	1	1	6	3	1	0	0	7	3	3	2	2	6	5	1	2	1	2	1	0	9	0	0	0	0	5	4	0	2	0	6	5	5	4	3	6	2	2	3	4	6	2	14	7	0	6	3	0	4	0	0	1	0	0	0	1	159	74	43	20	7	0	0	37	8	41	10	4	1	4	1	3	2	1	1	1	0	0	5	13	8	6	7	1	8	1	2	8	0	0	4	2	5	0	0	0	0	9	1	0	0	1	1	6	3	1	0	0	7	3	3	2	2	6	5	1	2	1	2	1	0	9	0	0	0	0	5	4	0	2	0	6	5	5	4	3	6	2	2	3	4	6	2	14	7	0	6	3	0	4	0	0	1	0	0	0	1	159	74	43	20	7	0	0	37	8	41	10	4	1
GCF_000009765.2	4	3	7	3	2	3	1	0	0	5	17	6	9	12	1	14	3	1	9	0	0	3	2	8	2	2	2	0	13	0	1	0	0	1	8	3	2	0	0	14	3	2	2	0	4	6	2	8	2	2	1	0	12	0	0	0	1	14	1	2	4	0	9	5	9	9	5	10	0	4	4	4	6	1	17	11	3	8	1	0	4	0	1	2	0	0	0	1	214	98	66	30	5	0	3	43	8	49	14	4	1	4	3	7	3	2	3	1	0	0	5	17	6	9	12	1	14	3	1	9	0	0	3	2	8	2	2	2	0	13	0	1	0	0	1	8	3	2	0	0	14	3	2	2	0	4	6	2	8	2	2	1	0	12	0	0	0	1	14	1	2	4	0	9	5	9	9	5	10	0	4	4	4	6	1	17	11	3	8	1	0	4	0	1	2	0	0	0	1	214	98	66	30	5	0	3	43	8	49	14	4	1
GCF_000009785.1	2	3	5	6	1	5	1	0	3	4	11	6	7	7	3	12	3	1	6	0	0	5	2	8	1	2	0	0	11	0	0	0	0	0	6	2	2	0	0	11	0	0	0	0	3	6	1	3	2	2	2	0	6	0	0	0	0	8	3	0	3	0	5	1	4	5	5	5	0	5	4	4	5	0	14	7	0	6	4	0	5	0	0	2	0	0	0	0	162	81	44	16	6	0	1	39	4	47	9	4	1	2	3	5	6	1	5	1	0	3	4	11	6	7	7	3	12	3	1	6	0	0	5	2	8	1	2	0	0	11	0	0	0	0	0	6	2	2	0	0	11	0	0	0	0	3	6	1	3	2	2	2	0	6	0	0	0	0	8	3	0	3	0	5	1	4	5	5	5	0	5	4	4	5	0	14	7	0	6	4	0	5	0	0	2	0	0	0	0	162	81	44	16	6	0	1	39	4	47	9	4	1
GCF_000009805.1	2	4	5	3	2	4	2	1	1	5	16	7	8	8	1	9	5	3	6	0	0	3	2	9	2	5	3	0	13	1	0	0	0	0	5	3	3	0	0	11	4	3	2	0	7	5	1	4	2	2	2	0	11	3	3	0	0	9	2	1	5	0	4	2	3	7	4	10	0	4	4	4	6	1	15	13	0	7	1	0	4	3	0	0	0	1	0	1	192	91	51	16	6	1	5	41	8	51	14	4	1	2	4	5	3	2	4	2	1	1	5	16	7	8	8	1	9	5	3	6	0	0	3	2	9	2	5	3	0	13	1	0	0	0	0	5	3	3	0	0	11	4	3	2	0	7	5	1	4	2	2	2	0	11	3	3	0	0	9	2	1	5	0	4	2	3	7	4	10	0	4	4	4	6	1	15	13	0	7	1	0	4	3	0	0	0	1	0	1	192	91	51	16	6	1	5	41	8	51	14	4	1
GCF_000009905.1	4	1	6	4	1	1	0	0	0	2	12	6	6	9	2	7	0	1	6	1	0	4	2	6	1	3	0	0	12	0	0	0	1	1	6	2	1	0	0	11	0	0	0	0	2	7	1	4	1	1	1	0	7	0	0	0	0	10	1	0	2	0	6	5	9	4	3	3	0	2	3	0	1	0	4	8	0	2	2	0	5	0	0	1	0	0	0	0	133	60	35	23	5	0	0	37	6	21	10	0	1	4	1	6	4	1	1	0	0	0	2	12	6	6	9	2	7	0	1	6	1	0	4	2	6	1	3	0	0	12	0	0	0	1	1	6	2	1	0	0	11	0	0	0	0	2	7	1	4	1	1	1	0	7	0	0	0	0	10	1	0	2	0	6	5	9	4	3	3	0	2	3	0	1	0	4	8	0	2	2	0	5	0	0	1	0	0	0	0	133	60	35	23	5	0	0	37	6	21	10	0	1
GCF_000009985.1	2	4	3	3	3	2	0	1	0	2	13	5	6	8	1	7	2	2	7	0	0	3	2	5	1	6	4	0	10	0	0	0	0	0	7	3	4	0	0	11	6	6	2	2	14	5	1	2	1	1	2	0	11	0	0	0	0	7	1	0	2	0	7	3	6	8	3	5	1	6	4	4	3	0	15	8	0	6	4	0	4	0	1	2	0	1	0	1	172	77	46	20	6	1	5	38	6	47	20	5	1	2	4	3	3	3	2	0	1	0	2	13	5	6	8	1	7	2	2	7	0	0	3	2	5	1	6	4	0	10	0	0	0	0	0	7	3	4	0	0	11	6	6	2	2	14	5	1	2	1	1	2	0	11	0	0	0	0	7	1	0	2	0	7	3	6	8	3	5	1	6	4	4	3	0	15	8	0	6	4	0	4	0	1	2	0	1	0	1	172	77	46	20	6	1	5	38	6	47	20	5	1
GCF_000010125.1	3	3	5	5	1	4	0	0	4	2	12	6	6	9	2	9	1	1	4	0	0	0	0	6	0	0	0	0	8	0	0	0	0	0	5	2	2	0	0	12	0	0	0	0	4	6	1	8	1	2	2	0	6	0	0	0	0	5	0	0	1	0	5	3	5	3	5	6	0	3	4	0	3	0	7	7	0	1	2	0	5	0	0	1	0	0	1	0	128	64	24	14	4	0	0	28	5	38	9	0	1	3	3	5	5	1	4	0	0	4	2	12	6	6	9	2	9	1	1	4	0	0	0	0	6	0	0	0	0	8	0	0	0	0	0	5	2	2	0	0	12	0	0	0	0	4	6	1	8	1	2	2	0	6	0	0	0	0	5	0	0	1	0	5	3	5	3	5	6	0	3	4	0	3	0	7	7	0	1	2	0	5	0	0	1	0	0	1	0	128	64	24	14	4	0	0	28	5	38	9	0	1
GCF_000010265.1	5	2	4	3	3	2	0	0	0	1	9	7	6	8	3	13	0	2	6	0	0	5	3	6	0	0	0	0	14	0	0	0	0	0	6	2	4	0	0	11	1	1	1	0	5	7	2	4	1	1	2	0	7	0	0	0	0	2	0	0	0	1	4	0	8	3	6	5	0	3	3	3	2	0	7	7	0	1	1	0	6	0	0	1	0	0	0	1	131	73	24	13	6	0	0	44	5	36	12	0	0	5	2	4	3	3	2	0	0	0	1	9	7	6	8	3	13	0	2	6	0	0	5	3	6	0	0	0	0	14	0	0	0	0	0	6	2	4	0	0	11	1	1	1	0	5	7	2	4	1	1	2	0	7	0	0	0	0	2	0	0	0	1	4	0	8	3	6	5	0	3	3	3	2	0	7	7	0	1	1	0	6	0	0	1	0	0	0	1	131	73	24	13	6	0	0	44	5	36	12	0	0
GCF_000010425.1	2	0	6	4	1	2	0	0	0	3	12	8	7	6	1	6	0	1	5	0	0	2	2	4	0	0	0	0	6	0	0	0	0	0	5	1	1	0	0	9	4	3	3	0	4	5	1	1	2	1	0	0	3	0	0	0	0	3	0	0	0	0	5	3	5	4	3	0	0	3	3	0	1	0	0	5	0	2	1	0	3	0	0	0	0	0	0	2	95	48	22	13	4	0	0	31	6	18	11	0	0	2	0	6	4	1	2	0	0	0	3	12	8	7	6	1	6	0	1	5	0	0	2	2	4	0	0	0	0	6	0	0	0	0	0	5	1	1	0	0	9	4	3	3	0	4	5	1	1	2	1	0	0	3	0	0	0	0	3	0	0	0	0	5	3	5	4	3	0	0	3	3	0	1	0	0	5	0	2	1	0	3	0	0	0	0	0	0	2	95	48	22	13	4	0	0	31	6	18	11	0	0
GCF_000010505.1	4	2	4	1	2	1	0	0	0	0	7	6	4	5	1	4	2	0	5	1	0	0	0	2	0	0	0	0	3	0	0	0	1	0	6	0	0	0	0	5	4	4	2	2	6	5	1	1	1	1	0	1	5	0	0	0	0	3	2	0	0	0	3	1	6	4	3	5	2	2	3	4	3	0	8	5	0	1	1	0	5	0	0	1	0	0	0	1	96	39	17	13	2	0	0	16	5	29	9	0	0	4	2	4	1	2	1	0	0	0	0	7	6	4	5	1	4	2	0	5	1	0	0	0	2	0	0	0	0	3	0	0	0	1	0	6	0	0	0	0	5	4	4	2	2	6	5	1	1	1	1	0	1	5	0	0	0	0	3	2	0	0	0	3	1	6	4	3	5	2	2	3	4	3	0	8	5	0	1	1	0	5	0	0	1	0	0	0	1	96	39	17	13	2	0	0	16	5	29	9	0	0
GCF_000010525.1	5	4	7	4	3	2	2	0	0	7	13	7	9	13	1	9	2	1	7	0	0	3	2	5	0	1	2	0	11	0	0	0	1	1	7	11	2	0	0	9	5	5	2	2	12	5	1	4	1	1	1	0	13	0	0	0	0	20	1	0	4	0	9	9	9	8	4	5	1	4	4	1	3	2	16	8	0	6	4	0	4	0	0	2	0	0	0	1	205	84	54	32	5	0	2	41	6	46	17	0	1	5	4	7	4	3	2	2	0	0	7	13	7	9	13	1	9	2	1	7	0	0	3	2	5	0	1	2	0	11	0	0	0	1	1	7	11	2	0	0	9	5	5	2	2	12	5	1	4	1	1	1	0	13	0	0	0	0	20	1	0	4	0	9	9	9	8	4	5	1	4	4	1	3	2	16	8	0	6	4	0	4	0	0	2	0	0	0	1	205	84	54	32	5	0	2	41	6	46	17	0	1
GCF_000010665.1	3	3	5	2	3	1	0	0	0	3	8	7	8	6	1	5	0	1	5	0	0	3	2	3	0	0	0	0	9	1	0	0	1	0	6	1	1	0	0	6	4	4	2	1	8	5	1	4	1	2	1	0	5	0	0	0	0	8	0	0	0	0	6	6	5	4	5	6	1	1	3	4	3	0	7	6	0	3	2	0	5	0	0	2	0	0	0	1	122	63	32	20	4	0	0	33	5	34	12	0	0	3	3	5	2	3	1	0	0	0	3	8	7	8	6	1	5	0	1	5	0	0	3	2	3	0	0	0	0	9	1	0	0	1	0	6	1	1	0	0	6	4	4	2	1	8	5	1	4	1	2	1	0	5	0	0	0	0	8	0	0	0	0	6	6	5	4	5	6	1	1	3	4	3	0	7	6	0	3	2	0	5	0	0	2	0	0	0	1	122	63	32	20	4	0	0	33	5	34	12	0	0
GCF_000010985.1	3	3	4	2	1	1	0	0	0	2	10	8	7	5	1	6	0	1	4	0	0	5	2	7	0	0	0	0	11	0	0	0	1	0	6	0	1	0	0	7	0	0	0	2	4	5	1	2	1	2	1	0	8	0	0	0	0	3	0	0	2	0	6	2	6	5	4	5	1	1	4	4	2	0	11	7	0	1	1	0	4	0	0	1	0	0	0	0	126	63	25	14	4	0	0	31	6	35	9	0	0	3	3	4	2	1	1	0	0	0	2	10	8	7	5	1	6	0	1	4	0	0	5	2	7	0	0	0	0	11	0	0	0	1	0	6	0	1	0	0	7	0	0	0	2	4	5	1	2	1	2	1	0	8	0	0	0	0	3	0	0	2	0	6	2	6	5	4	5	1	1	4	4	2	0	11	7	0	1	1	0	4	0	0	1	0	0	0	0	126	63	25	14	4	0	0	31	6	35	9	0	0
GCF_000011225.1	2	0	3	3	2	1	1	0	0	0	6	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	5	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	4	1	1	1	0	0	2	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	31	10	7	6	0	0	0	4	7	11	1	0	0	2	0	3	3	2	1	1	0	0	0	6	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	5	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	4	1	1	1	0	0	2	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	31	10	7	6	0	0	0	4	7	11	1	0	0
GCF_000011245.1	2	3	7	9	2	3	3	0	3	3	12	7	6	9	3	11	2	1	6	0	0	3	2	5	1	0	0	0	11	0	0	0	0	0	7	3	4	0	0	12	4	4	2	0	8	5	0	8	1	2	2	0	6	0	0	0	0	5	3	0	3	0	4	2	5	3	7	8	0	4	3	0	4	0	10	7	0	1	3	0	6	0	0	1	0	0	1	1	166	84	39	17	6	0	1	39	5	46	15	0	1	2	3	7	9	2	3	3	0	3	3	12	7	6	9	3	11	2	1	6	0	0	3	2	5	1	0	0	0	11	0	0	0	0	0	7	3	4	0	0	12	4	4	2	0	8	5	0	8	1	2	2	0	6	0	0	0	0	5	3	0	3	0	4	2	5	3	7	8	0	4	3	0	4	0	10	7	0	1	3	0	6	0	0	1	0	0	1	1	166	84	39	17	6	0	1	39	5	46	15	0	1
