Genome	map00010	map00030	map00040	map00230	map00240	map00250	map00470	map00520	map00541	map00550	map00620	map00670	map00710	map00720	map00770	map00900	map00970	map01100	map01110	map01120	map01200	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00230	rn00240	rn00250	rn00470	rn00520	rn00541	rn00550	rn00620	rn00670	rn00710	rn00720	rn00770	rn00900	rn00970	rn01100	rn01110	rn01120	rn01200	rn01230	rn01232	rn01240	rn01250
GCF_000009905.1	4	6	4	12	6	6	6	11	2	7	7	6	9	4	3	8	5	133	60	35	23	37	6	21	10	4	6	4	12	6	6	6	11	2	7	7	6	9	4	3	8	5	133	60	35	23	37	6	21	10
GCF_000009985.1	2	3	3	13	5	6	7	11	14	5	11	7	6	8	4	8	4	172	77	46	20	38	6	47	20	2	3	3	13	5	6	7	11	14	5	11	7	6	8	4	8	4	172	77	46	20	38	6	47	20
GCF_000010125.1	3	5	5	12	6	6	5	12	4	6	6	5	5	3	4	7	5	128	64	24	14	28	5	38	9	3	5	5	12	6	6	5	12	4	6	6	5	5	3	4	7	5	128	64	24	14	28	5	38	9
GCF_000010265.1	5	4	3	9	7	6	6	11	5	7	7	4	8	3	3	7	6	131	73	24	13	44	5	36	12	5	4	3	9	7	6	6	11	5	7	7	4	8	3	3	7	6	131	73	24	13	44	5	36	12
GCF_000010425.1	2	6	4	12	8	7	5	9	4	5	3	5	5	4	3	5	3	95	48	22	13	31	6	18	11	2	6	4	12	8	7	5	9	4	5	3	5	5	4	3	5	3	95	48	22	13	31	6	18	11
GCF_000010505.1	4	4	1	7	6	4	6	5	6	5	5	3	6	4	3	5	5	96	39	17	13	16	5	29	9	4	4	1	7	6	4	6	5	6	5	5	3	6	4	3	5	5	96	39	17	13	16	5	29	9
GCF_000010525.1	5	7	4	13	7	9	7	9	12	5	13	9	9	8	4	8	4	205	84	54	32	41	6	46	17	5	7	4	13	7	9	7	9	12	5	13	9	9	8	4	8	4	205	84	54	32	41	6	46	17
GCF_000010665.1	3	5	2	8	7	8	6	6	8	5	5	6	5	4	3	6	5	122	63	32	20	33	5	34	12	3	5	2	8	7	8	6	6	8	5	5	6	5	4	3	6	5	122	63	32	20	33	5	34	12
GCF_000010985.1	3	4	2	10	8	7	6	7	4	5	8	6	6	5	4	7	4	126	63	25	14	31	6	35	9	3	4	2	10	8	7	6	7	4	5	8	6	6	5	4	7	4	126	63	25	14	31	6	35	9
GCF_000011225.1	2	3	3	6	6	4	0	2	1	0	1	1	4	1	2	5	5	31	10	7	6	4	7	11	1	2	3	3	6	6	4	0	2	1	0	1	1	4	1	2	5	5	31	10	7	6	4	7	11	1
GCF_000011245.1	2	7	9	12	7	6	7	12	8	5	6	4	5	3	3	7	6	166	84	39	17	39	5	46	15	2	7	9	12	7	6	7	12	8	5	6	4	5	3	3	7	6	166	84	39	17	39	5	46	15
GCF_000011305.1	2	5	3	13	7	8	6	9	5	5	7	8	3	6	3	8	4	160	89	38	20	45	8	44	10	2	5	3	13	7	8	6	9	5	5	7	8	3	6	3	8	4	160	89	38	20	45	8	44	10
GCF_000011325.1	2	5	4	15	7	7	6	11	5	6	6	8	3	6	3	8	4	151	80	37	20	42	10	42	11	2	5	4	15	7	7	6	11	5	6	6	8	3	6	3	8	4	151	80	37	20	42	10	42	11
GCF_000011345.1	4	4	1	12	4	6	6	6	5	4	5	7	5	5	3	8	5	127	74	24	12	30	6	36	10	4	4	1	12	4	6	6	6	5	4	5	7	5	5	3	8	5	127	74	24	12	30	6	36	10
GCF_000011385.1	2	6	1	12	6	7	6	9	12	4	4	7	5	4	3	7	4	140	80	27	14	32	7	35	17	2	6	1	12	6	7	6	9	12	4	4	7	5	4	3	7	4	140	80	27	14	32	7	35	17
GCF_000011965.2	5	8	3	15	9	10	6	5	2	5	8	8	8	9	4	10	4	203	82	61	31	42	9	45	6	5	8	3	15	9	10	6	5	2	5	8	8	8	9	4	10	4	203	82	61	31	42	9	45	6
GCF_000012305.1	3	3	1	14	8	6	6	6	5	5	10	4	7	4	3	6	4	139	70	37	22	35	8	40	9	3	3	1	14	8	6	6	6	5	5	10	4	7	4	3	6	4	139	70	37	22	35	8	40	9
GCF_000012325.1	5	7	3	16	5	6	6	9	5	5	8	11	7	4	3	7	5	192	83	56	29	44	6	45	10	5	7	3	16	5	6	6	9	5	5	8	11	7	4	3	7	5	192	83	56	29	44	6	45	10
GCF_000012365.1	4	9	7	19	7	10	7	12	15	6	12	9	6	7	5	8	4	253	103	85	39	47	9	61	21	4	9	7	19	7	10	7	12	15	6	12	9	6	7	5	8	4	253	103	85	39	47	9	61	21
GCF_000012405.1	3	4	4	14	7	7	6	6	2	6	4	7	3	5	3	7	4	134	67	30	14	34	8	38	6	3	4	4	14	7	7	6	6	2	6	4	7	3	5	3	7	4	134	67	30	14	34	8	38	6
GCF_000012485.1	4	4	1	12	5	7	6	5	8	6	6	7	7	4	3	7	4	145	83	34	15	38	6	44	11	4	4	1	12	5	7	6	5	8	6	6	7	7	4	3	7	4	145	83	34	15	38	6	44	11
GCF_000012565.1	2	3	1	9	6	5	2	0	0	0	4	2	5	3	2	5	3	62	34	18	8	12	4	30	0	2	3	1	9	6	5	2	0	0	0	4	2	5	3	2	5	3	62	34	18	8	12	4	30	0
GCF_000012665.1	5	5	2	8	6	9	9	9	12	7	4	5	5	4	3	6	5	143	70	38	18	36	5	35	18	5	5	2	8	6	9	9	9	12	7	4	5	5	4	3	6	5	143	70	38	18	36	5	35	18
GCF_000012805.1	5	4	2	12	6	6	6	8	9	6	7	6	7	6	3	7	4	154	75	46	25	36	6	42	14	5	4	2	12	6	6	6	8	9	6	7	6	7	6	3	7	4	154	75	46	25	36	6	42	14
GCF_000012825.1	8	5	10	10	7	8	7	9	14	5	9	11	8	6	3	6	5	169	77	40	20	41	8	31	19	8	5	10	10	7	8	7	9	14	5	9	11	8	6	3	6	5	169	77	40	20	41	8	31	19
GCF_000012865.1	4	4	2	10	6	8	6	8	6	6	8	6	7	4	3	7	4	139	77	40	20	39	4	34	11	4	4	2	10	6	8	6	8	6	6	8	6	7	4	3	7	4	139	77	40	20	39	4	34	11
GCF_000012885.1	6	5	1	10	6	8	6	7	8	5	7	5	5	6	3	7	5	152	76	36	16	40	5	43	13	6	5	1	10	6	8	6	7	8	5	7	5	5	6	3	7	5	152	76	36	16	40	5	43	13
GCF_000012925.1	7	4	2	9	6	7	6	9	8	6	9	6	7	8	4	8	5	145	73	37	20	35	4	41	15	7	4	2	9	6	7	6	9	8	6	9	6	7	8	4	8	5	145	73	37	20	35	4	41	15
GCF_000012945.1	4	7	8	20	7	13	9	14	13	7	15	8	6	7	6	9	4	286	114	96	40	55	8	62	22	4	7	8	20	7	13	9	14	13	7	15	8	6	7	6	9	4	286	114	96	40	55	8	62	22
GCF_000012965.1	3	3	2	13	4	6	5	6	5	5	3	6	4	3	3	7	4	122	70	29	11	36	5	35	9	3	3	2	13	4	6	5	6	5	5	3	6	4	3	3	7	4	122	70	29	11	36	5	35	9
GCF_000012985.1	4	7	3	14	8	8	8	8	7	6	10	8	6	6	5	7	5	209	96	63	28	46	5	55	11	4	7	3	14	8	8	8	8	7	6	10	8	6	6	5	7	5	209	96	63	28	46	5	55	11
GCF_000013025.1	4	5	2	13	5	6	7	8	8	4	8	7	7	7	3	7	4	153	69	41	21	33	7	39	13	4	5	2	13	5	6	7	8	8	4	8	7	7	7	3	7	4	153	69	41	21	33	7	39	13
GCF_000013085.1	5	5	3	13	7	10	5	9	10	6	11	7	9	9	4	9	4	185	92	50	29	48	8	49	16	5	5	3	13	7	10	5	9	10	6	11	7	9	9	4	9	4	185	92	50	29	48	8	49	16
GCF_000013145.1	2	3	1	9	6	5	2	0	0	0	4	2	5	3	2	5	3	62	34	18	8	12	4	31	0	2	3	1	9	6	5	2	0	0	0	4	2	5	3	2	5	3	62	34	18	8	12	4	31	0
GCF_000013345.1	4	6	3	17	5	9	6	14	8	7	9	8	5	9	3	10	4	168	79	45	21	43	10	46	18	4	6	3	17	5	9	6	14	8	7	9	8	5	9	3	10	4	168	79	45	21	43	10	46	18
GCF_000013405.1	4	3	3	8	6	7	7	6	10	5	4	3	4	3	3	7	4	126	71	27	15	37	4	36	12	4	3	3	8	6	7	7	6	10	5	4	3	4	3	3	7	4	126	71	27	15	37	4	36	12
GCF_000013645.1	4	11	9	20	7	7	7	13	21	5	13	9	8	6	6	9	4	286	114	102	47	48	8	59	26	4	11	9	20	7	7	7	13	21	5	13	9	8	6	6	9	4	286	114	102	47	48	8	59	26
GCF_000013665.1	5	5	10	13	5	5	6	11	8	5	10	6	9	4	3	7	4	173	83	46	21	40	5	48	16	5	5	10	13	5	5	6	11	8	5	10	6	9	4	3	7	4	173	83	46	21	40	5	48	16
GCF_000013705.1	3	8	2	15	8	9	6	8	9	5	6	7	6	3	3	8	4	165	80	47	23	45	8	46	14	3	8	2	15	8	9	6	8	9	5	6	7	6	3	3	8	4	165	80	47	23	45	8	46	14
GCF_000013765.1	4	6	2	14	7	6	6	11	12	5	8	8	7	5	4	7	5	185	91	52	24	44	8	43	18	4	6	2	14	7	6	6	11	12	5	8	8	7	5	4	7	5	185	91	52	24	44	8	43	18
GCF_000013885.1	5	5	2	13	6	6	6	9	15	5	8	5	10	6	4	10	4	165	82	48	24	36	7	44	19	5	5	2	13	6	6	6	9	15	5	8	5	10	6	4	10	4	165	82	48	24	36	7	44	19
GCF_000013905.1	3	3	1	16	8	6	6	6	6	5	10	5	7	4	3	6	4	155	73	43	22	37	8	40	10	3	3	1	16	8	6	6	6	6	5	10	5	7	4	3	6	4	155	73	43	22	37	8	40	10
GCF_000013985.1	4	5	2	13	7	8	6	7	2	5	8	7	8	7	3	6	4	149	68	43	21	37	8	43	7	4	5	2	13	7	8	6	7	2	5	8	7	8	7	3	6	4	149	68	43	21	37	8	43	7
GCF_000014005.1	2	7	5	12	6	9	6	12	6	4	3	3	5	1	3	7	5	133	65	34	15	32	6	29	15	2	7	5	12	6	9	6	12	6	4	3	3	5	1	3	7	5	133	65	34	15	32	6	29	15
GCF_000014025.1	3	3	2	11	4	6	5	7	7	5	4	6	4	3	3	7	4	118	70	27	13	37	3	32	11	3	3	2	11	4	6	5	7	7	5	4	6	4	3	3	7	4	118	70	27	13	37	3	32	11
GCF_000014145.1	1	4	1	11	5	7	6	8	7	4	5	6	4	3	3	7	5	122	64	31	11	31	6	38	13	1	4	1	11	5	7	6	8	7	4	5	6	4	3	3	7	5	122	64	31	11	31	6	38	13
GCF_000014185.1	3	6	3	14	8	10	7	8	6	6	9	7	4	5	2	6	4	152	70	40	19	34	7	37	11	3	6	3	14	8	10	7	8	6	6	9	7	4	5	2	6	4	152	70	40	19	34	7	37	11
GCF_000014265.1	3	5	1	12	5	7	6	6	8	4	5	7	5	5	3	9	5	147	86	29	15	36	7	40	12	3	5	1	12	5	7	6	6	8	4	5	7	5	5	3	9	5	147	86	29	15	36	7	40	12
GCF_000014425.1	4	5	2	5	7	5	4	9	6	4	4	2	6	2	3	7	5	66	27	14	11	10	5	17	11	4	5	2	5	7	5	4	9	6	4	4	2	6	2	3	7	5	66	27	14	11	10	5	17	11
GCF_000014445.1	4	7	7	12	7	6	7	13	6	5	3	7	7	3	3	6	5	124	63	22	14	36	5	31	13	4	7	7	12	7	6	7	13	6	5	3	7	7	3	3	6	5	124	63	22	14	36	5	31	13
GCF_000014505.1	1	5	6	13	6	6	6	9	2	4	5	3	3	3	3	7	5	84	34	16	11	13	5	24	8	1	5	6	13	6	6	6	9	2	4	5	3	3	3	3	7	5	84	34	16	11	13	5	24	8
GCF_000014705.1	4	6	3	14	6	6	6	12	13	5	14	7	7	6	4	7	5	206	102	61	34	44	7	54	20	4	6	3	14	6	6	6	12	13	5	14	7	7	6	4	7	5	206	102	61	34	44	7	54	20
GCF_000014765.1	5	4	2	13	6	6	6	8	5	5	8	6	7	6	3	7	4	144	78	39	21	38	6	38	10	5	4	2	13	6	6	6	8	5	5	8	6	7	6	3	7	4	144	78	39	21	38	6	38	10
GCF_000014785.1	5	3	2	14	6	6	5	10	7	4	8	7	8	5	3	7	4	165	78	49	26	37	7	45	14	5	3	2	14	6	6	5	10	7	4	8	7	8	5	3	7	4	165	78	49	26	37	7	45	14
GCF_000014865.1	5	5	2	13	6	6	6	9	10	5	8	6	7	5	3	8	4	148	80	34	16	38	7	43	16	5	5	2	13	6	6	6	9	10	5	8	6	7	5	3	8	4	148	80	34	16	38	7	43	16
GCF_000014885.1	4	7	2	13	6	7	7	13	7	5	11	7	7	5	3	7	5	197	94	57	31	43	7	53	16	4	7	2	13	6	7	7	13	7	5	11	7	7	5	3	7	5	197	94	57	31	43	7	53	16
GCF_000014965.1	6	4	1	10	6	8	9	10	9	8	7	4	7	6	4	7	5	165	80	46	24	38	3	38	16	6	4	1	10	6	8	9	10	9	8	7	4	7	6	4	7	5	165	80	46	24	38	3	38	16
GCF_000015025.1	3	4	5	14	5	9	7	12	7	7	3	7	3	4	3	7	4	145	72	36	12	37	7	38	16	3	4	5	14	5	9	7	12	7	7	3	7	3	4	3	7	4	145	72	36	12	37	7	38	16
GCF_000015045.1	5	4	2	8	7	8	6	8	11	5	9	5	6	8	4	8	5	137	72	31	16	35	5	40	16	5	4	2	8	7	8	6	8	11	5	9	5	6	8	4	8	5	137	72	31	16	35	5	40	16
GCF_000015105.1	3	3	2	13	5	6	5	6	4	5	2	5	5	2	3	7	4	117	63	29	13	34	5	38	8	3	3	2	13	5	6	5	6	4	5	2	5	5	2	3	7	4	117	63	29	13	34	5	38	8
GCF_000015125.1	3	4	1	12	5	8	6	5	7	5	4	7	4	5	3	8	4	133	78	28	14	36	6	38	11	3	4	1	12	5	8	6	5	7	5	4	7	4	5	3	8	4	133	78	28	14	36	6	38	11
GCF_000015245.1	4	6	2	15	7	7	6	12	7	5	11	7	7	5	3	7	5	187	91	47	26	45	8	47	15	4	6	2	15	7	7	6	12	7	5	11	7	7	5	3	7	5	187	91	47	26	45	8	47	15
GCF_000015285.1	5	8	4	13	7	7	9	15	11	6	12	6	9	4	3	7	5	211	102	58	27	48	5	52	21	5	8	4	13	7	7	9	15	11	6	12	6	9	4	3	7	5	211	102	58	27	48	5	52	21
GCF_000015305.1	3	5	3	16	8	14	6	9	7	5	9	6	3	8	3	12	4	186	100	55	17	46	10	48	12	3	5	3	16	8	14	6	9	7	5	9	6	3	8	3	12	4	186	100	55	17	46	10	48	12
GCF_000015445.1	4	3	2	10	6	7	6	6	3	4	3	3	5	4	3	6	5	82	41	17	9	22	4	27	7	4	3	2	10	6	7	6	6	3	4	3	3	5	4	3	6	5	82	41	17	9	22	4	27	7
GCF_000015485.1	3	4	2	10	7	8	7	7	10	5	4	6	4	4	3	6	5	127	64	29	17	34	7	33	14	3	4	2	10	7	8	7	7	10	5	4	6	4	4	3	6	5	127	64	29	17	34	7	33	14
GCF_000015505.1	6	6	3	14	7	7	6	8	8	5	9	7	8	9	5	8	4	184	87	57	30	44	7	51	13	6	6	3	14	7	7	6	8	8	5	9	7	8	9	5	8	4	184	87	57	30	44	7	51	13
GCF_000015585.1	4	2	2	11	6	7	6	9	3	7	10	6	7	7	3	8	4	163	86	44	22	39	6	50	10	4	2	2	11	6	7	6	9	3	7	10	6	7	7	3	8	4	163	86	44	22	39	6	50	10
GCF_000015665.1	3	3	1	12	5	6	6	6	7	5	3	7	6	4	3	6	4	118	67	23	11	27	5	34	11	3	3	1	12	5	6	6	6	7	5	3	7	6	4	3	6	4	118	67	23	11	27	5	34	11
GCF_000015785.2	3	5	8	13	8	6	7	15	8	6	7	6	8	3	4	8	5	187	90	42	19	40	7	52	15	3	5	8	13	8	6	7	15	8	6	7	6	8	3	4	8	5	187	90	42	19	40	7	52	15
GCF_000016065.1	4	6	3	15	7	6	6	16	13	5	12	6	7	7	3	7	5	206	105	56	32	47	8	53	22	4	6	3	15	7	6	6	16	13	5	12	6	7	7	3	7	5	206	105	56	32	47	8	53	22
GCF_000016165.1	8	4	2	10	8	9	6	13	10	7	5	6	7	4	3	8	5	156	87	37	17	47	6	36	18	8	4	2	10	8	9	6	13	10	7	5	6	7	4	3	8	5	156	87	37	17	47	6	36	18
GCF_000016285.1	5	10	7	17	10	11	9	11	13	6	9	7	6	7	3	7	4	218	98	61	28	42	9	44	19	5	10	7	17	10	11	9	11	13	6	9	7	6	7	3	7	4	218	98	61	28	42	9	44	19
GCF_000016345.1	4	3	2	13	6	6	6	8	9	5	5	7	4	5	4	7	4	138	69	36	16	35	6	37	14	4	3	2	13	6	6	6	8	9	5	5	7	4	5	4	7	4	138	69	36	16	35	6	37	14
GCF_000016425.1	4	5	3	16	6	8	6	8	6	7	8	8	7	7	3	8	5	176	80	45	17	41	9	49	11	4	5	3	16	6	8	6	8	6	7	8	8	7	7	3	8	5	176	80	45	17	41	9	49	11
GCF_000016545.1	2	4	7	11	7	6	6	12	2	7	3	3	4	2	3	7	4	107	58	19	7	31	5	25	12	2	4	7	11	7	6	6	12	2	7	3	3	4	2	3	7	4	107	58	19	7	31	5	25	12
GCF_000016645.1	3	6	7	12	6	7	6	12	6	5	11	6	7	5	3	3	6	150	75	44	19	39	8	39	14	3	6	7	12	6	7	6	12	6	5	11	6	7	5	3	3	6	150	75	44	19	39	8	39	14
GCF_000016785.1	5	6	4	11	4	6	6	8	1	5	7	5	8	5	3	7	4	106	59	28	17	32	5	13	8	5	6	4	11	4	6	6	8	1	5	7	5	8	5	3	7	4	106	59	28	17	32	5	13	8
GCF_000016845.1	6	6	4	15	7	8	7	7	6	6	9	8	7	8	3	7	4	173	79	49	24	41	8	43	11	6	6	4	15	7	8	7	7	6	6	9	8	7	8	3	7	4	173	79	49	24	41	8	43	11
GCF_000016985.1	2	5	8	11	7	7	7	12	3	9	10	6	4	3	3	6	5	156	74	32	14	41	5	36	11	2	5	8	11	7	7	7	12	3	9	10	6	4	3	3	6	5	156	74	32	14	41	5	36	11
GCF_000017245.1	4	8	9	14	4	5	6	11	8	4	5	3	8	2	3	7	5	158	86	40	23	44	7	37	16	4	8	9	14	4	5	6	11	8	4	5	3	8	2	3	7	5	158	86	40	23	44	7	37	16
GCF_000017265.1	5	6	4	14	6	6	5	10	10	5	12	9	7	10	3	7	4	160	70	43	25	35	7	44	16	5	6	4	14	6	6	5	10	10	5	12	9	7	10	3	7	4	160	70	43	25	35	7	44	16
GCF_000017305.1	4	7	6	16	6	9	6	9	5	4	5	8	5	6	3	10	4	164	88	47	24	44	8	37	11	4	7	6	16	6	9	6	9	5	4	5	8	5	6	3	10	4	164	88	47	24	44	8	37	11
GCF_000017425.1	3	6	3	11	3	6	7	6	7	5	5	4	5	3	3	8	4	143	73	38	17	30	5	40	10	3	6	3	11	3	6	7	6	7	5	5	4	5	3	3	8	4	143	73	38	17	30	5	40	10
GCF_000017545.1	5	4	1	10	3	8	6	8	1	5	5	7	9	6	3	6	5	87	42	27	18	18	5	11	8	5	4	1	10	3	8	6	8	1	5	5	7	9	6	3	6	5	87	42	27	18	18	5	11	8
GCF_000017565.1	5	3	2	12	6	10	6	10	12	5	7	8	7	6	3	7	4	162	79	40	20	42	6	42	18	5	3	2	12	6	10	6	10	12	5	7	8	7	6	3	7	4	162	79	40	20	42	6	42	18
GCF_000017585.1	1	3	2	12	5	6	5	6	3	5	2	4	3	1	3	7	4	96	59	21	8	32	5	28	7	1	3	2	12	5	6	5	6	3	5	2	4	3	1	3	7	4	96	59	21	8	32	5	28	7
GCF_000017685.1	4	3	3	13	5	6	7	7	6	7	8	5	7	6	2	5	5	128	62	31	15	31	6	33	11	4	3	3	13	5	6	7	7	6	7	8	5	7	6	2	5	5	128	62	31	15	31	6	33	11
GCF_000017805.1	2	8	2	14	7	9	4	9	6	5	10	1	6	3	4	4	5	137	68	34	16	34	5	33	13	2	8	2	14	7	9	4	9	6	5	10	1	6	3	4	4	5	137	68	34	16	34	5	33	13
GCF_000017845.1	5	5	1	12	4	6	7	9	7	5	9	6	6	6	3	9	5	157	89	33	18	35	6	44	14	5	5	1	12	4	6	7	9	7	5	9	6	6	6	3	9	5	157	89	33	18	35	6	44	14
GCF_000017865.1	3	6	3	11	4	8	7	9	1	4	4	2	5	2	3	6	5	83	35	17	9	16	5	8	9	3	6	3	11	4	8	7	9	1	4	4	2	5	2	3	6	5	83	35	17	9	16	5	8	9
GCF_000018025.1	4	6	2	14	7	8	6	13	11	5	14	7	7	7	3	7	5	217	105	64	37	47	9	55	18	4	6	2	14	7	8	6	13	11	5	14	7	7	7	3	7	5	217	105	64	37	47	9	55	18
GCF_000018045.1	6	6	10	13	7	6	8	12	9	7	9	8	7	5	4	8	5	247	99	67	36	43	8	58	16	6	6	10	13	7	6	8	12	9	7	9	8	7	5	4	8	5	247	99	67	36	43	8	58	16
GCF_000018325.1	3	4	1	7	6	3	5	8	1	9	3	6	5	2	3	6	5	95	43	19	9	18	2	19	7	3	4	1	7	6	3	5	8	1	9	3	6	5	2	3	6	5	95	43	19	9	18	2	19	7
GCF_000018525.1	6	6	4	15	8	8	7	7	6	6	9	8	7	8	3	7	4	177	79	49	25	41	9	43	11	6	6	4	15	8	8	7	7	6	6	9	8	7	8	3	7	4	177	79	49	25	41	9	43	11
GCF_000018605.1	2	7	2	10	5	5	5	10	3	3	6	3	5	2	3	7	5	97	51	20	11	30	5	10	11	2	7	2	10	5	5	5	10	3	3	6	3	5	2	3	7	5	97	51	20	11	30	5	10	11
GCF_000018665.1	4	6	2	16	7	6	6	8	6	7	10	9	7	8	4	9	4	201	80	61	34	43	9	48	11	4	6	2	16	7	6	6	8	6	7	10	9	7	8	4	9	4	201	80	61	34	43	9	48	11
GCF_000018685.1	4	3	6	8	6	9	8	7	5	7	5	4	5	3	2	7	6	120	68	33	9	36	4	26	9	4	3	6	8	6	9	8	7	5	7	5	4	5	3	2	7	6	120	68	33	9	36	4	26	9
GCF_000018785.1	3	4	2	6	3	2	1	6	2	1	0	3	4	1	1	6	5	50	31	10	6	14	8	13	5	3	4	2	6	3	2	1	6	2	1	0	3	4	1	1	6	5	50	31	10	6	14	8	13	5
GCF_000018865.1	4	6	1	15	7	8	5	10	6	5	7	7	7	6	4	3	5	162	87	39	19	39	6	45	14	4	6	1	15	7	8	5	10	6	5	7	7	7	6	4	3	5	162	87	39	19	39	6	45	14
GCF_000018945.1	5	6	4	12	3	6	7	10	6	6	8	5	8	5	3	7	4	114	62	28	17	31	5	13	13	5	6	4	12	3	6	7	10	6	6	8	5	8	5	3	7	4	114	62	28	17	31	5	13	13
GCF_000019045.1	4	4	4	11	6	7	6	8	2	6	6	5	7	4	4	8	5	149	81	33	16	38	4	46	8	4	4	4	11	6	7	6	8	2	6	6	5	7	4	4	8	5	149	81	33	16	38	4	46	8
GCF_000019085.1	6	5	3	12	6	9	7	14	7	8	9	5	8	3	3	6	4	135	69	30	14	36	5	25	16	6	5	3	12	6	9	7	14	7	8	9	5	8	3	3	6	4	135	69	30	14	36	5	25	16
GCF_000019165.1	5	4	2	9	7	7	7	8	5	7	5	5	7	4	3	7	4	145	80	37	16	42	5	36	11	5	4	2	9	7	7	7	8	5	7	5	5	7	4	3	7	4	145	80	37	16	42	5	36	11
GCF_000019185.1	4	6	3	14	10	10	7	12	8	5	13	7	7	6	3	8	5	211	97	64	41	43	9	56	15	4	6	3	14	10	10	7	12	8	5	13	7	7	6	3	8	5	211	97	64	41	43	9	56	15
