Genome	map00010	map00030	map00040	map00051	map00220	map00230	map00240	map00250	map00260	map00270	map00300	map00400	map00470	map00520	map00541	map00550	map00562	map00564	map00620	map00630	map00670	map00710	map00720	map00730	map00740	map00760	map00770	map00860	map00900	map00910	map00970	map01100	map01110	map01120	map01200	map01210	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00051	rn00220	rn00230	rn00240	rn00250	rn00260	rn00270	rn00300	rn00400	rn00470	rn00520	rn00541	rn00550	rn00562	rn00564	rn00620	rn00630	rn00670	rn00710	rn00720	rn00730	rn00740	rn00760	rn00770	rn00860	rn00900	rn00910	rn00970	rn01100	rn01110	rn01120	rn01200	rn01210	rn01230	rn01232	rn01240	rn01250
GCF_000009805.1	2	5	3	2	5	16	7	8	8	9	6	13	5	11	7	5	2	2	11	9	4	3	7	4	10	4	4	15	13	7	4	192	91	51	16	6	41	8	51	14	2	5	3	2	5	16	7	8	8	9	6	13	5	11	7	5	2	2	11	9	4	3	7	4	10	4	4	15	13	7	4	192	91	51	16	6	41	8	51	14
GCF_000009905.1	4	6	4	1	2	12	6	6	9	7	6	12	6	11	2	7	1	1	7	10	6	9	4	3	3	2	3	4	8	2	5	133	60	35	23	5	37	6	21	10	4	6	4	1	2	12	6	6	9	7	6	12	6	11	2	7	1	1	7	10	6	9	4	3	3	2	3	4	8	2	5	133	60	35	23	5	37	6	21	10
GCF_000009985.1	2	3	3	3	2	13	5	6	8	7	7	10	7	11	14	5	1	1	11	7	7	6	8	3	5	6	4	15	8	6	4	172	77	46	20	6	38	6	47	20	2	3	3	3	2	13	5	6	8	7	7	10	7	11	14	5	1	1	11	7	7	6	8	3	5	6	4	15	8	6	4	172	77	46	20	6	38	6	47	20
GCF_000010125.1	3	5	5	1	2	12	6	6	9	9	4	8	5	12	4	6	1	2	6	5	5	5	3	5	6	3	4	7	7	1	5	128	64	24	14	4	28	5	38	9	3	5	5	1	2	12	6	6	9	9	4	8	5	12	4	6	1	2	6	5	5	5	3	5	6	3	4	7	7	1	5	128	64	24	14	4	28	5	38	9
GCF_000010265.1	5	4	3	3	1	9	7	6	8	13	6	14	6	11	5	7	1	1	7	2	4	8	3	6	5	3	3	7	7	1	6	131	73	24	13	6	44	5	36	12	5	4	3	3	1	9	7	6	8	13	6	14	6	11	5	7	1	1	7	2	4	8	3	6	5	3	3	7	7	1	6	131	73	24	13	6	44	5	36	12
GCF_000010425.1	2	6	4	1	3	12	8	7	6	6	5	6	5	9	4	5	2	1	3	3	5	5	4	3	0	3	3	0	5	2	3	95	48	22	13	4	31	6	18	11	2	6	4	1	3	12	8	7	6	6	5	6	5	9	4	5	2	1	3	3	5	5	4	3	0	3	3	0	5	2	3	95	48	22	13	4	31	6	18	11
GCF_000010505.1	4	4	1	2	0	7	6	4	5	4	5	3	6	5	6	5	1	1	5	3	3	6	4	3	5	2	3	8	5	1	5	96	39	17	13	2	16	5	29	9	4	4	1	2	0	7	6	4	5	4	5	3	6	5	6	5	1	1	5	3	3	6	4	3	5	2	3	8	5	1	5	96	39	17	13	2	16	5	29	9
GCF_000010525.1	5	7	4	3	7	13	7	9	13	9	7	11	7	9	12	5	1	1	13	20	9	9	8	4	5	4	4	16	8	6	4	205	84	54	32	5	41	6	46	17	5	7	4	3	7	13	7	9	13	9	7	11	7	9	12	5	1	1	13	20	9	9	8	4	5	4	4	16	8	6	4	205	84	54	32	5	41	6	46	17
GCF_000010665.1	3	5	2	3	3	8	7	8	6	5	5	9	6	6	8	5	1	2	5	8	6	5	4	5	6	1	3	7	6	3	5	122	63	32	20	4	33	5	34	12	3	5	2	3	3	8	7	8	6	5	5	9	6	6	8	5	1	2	5	8	6	5	4	5	6	1	3	7	6	3	5	122	63	32	20	4	33	5	34	12
GCF_000010985.1	3	4	2	1	2	10	8	7	5	6	4	11	6	7	4	5	1	2	8	3	6	6	5	4	5	1	4	11	7	1	4	126	63	25	14	4	31	6	35	9	3	4	2	1	2	10	8	7	5	6	4	11	6	7	4	5	1	2	8	3	6	6	5	4	5	1	4	11	7	1	4	126	63	25	14	4	31	6	35	9
GCF_000011225.1	2	3	3	2	0	6	6	4	0	0	0	0	0	2	1	0	2	1	1	0	1	4	1	1	1	0	2	0	5	0	5	31	10	7	6	0	4	7	11	1	2	3	3	2	0	6	6	4	0	0	0	0	0	2	1	0	2	1	1	0	1	4	1	1	1	0	2	0	5	0	5	31	10	7	6	0	4	7	11	1
GCF_000011245.1	2	7	9	2	3	12	7	6	9	11	6	11	7	12	8	5	1	2	6	5	4	5	3	7	8	4	3	10	7	1	6	166	84	39	17	6	39	5	46	15	2	7	9	2	3	12	7	6	9	11	6	11	7	12	8	5	1	2	6	5	4	5	3	7	8	4	3	10	7	1	6	166	84	39	17	6	39	5	46	15
GCF_000011305.1	2	5	3	1	6	13	7	8	9	7	7	17	6	9	5	5	2	1	7	10	8	3	6	4	7	4	3	11	8	4	4	160	89	38	20	4	45	8	44	10	2	5	3	1	6	13	7	8	9	7	7	17	6	9	5	5	2	1	7	10	8	3	6	4	7	4	3	11	8	4	4	160	89	38	20	4	45	8	44	10
GCF_000011325.1	2	5	4	1	3	15	7	7	7	7	7	15	6	11	5	6	3	1	6	7	8	3	6	4	8	4	3	9	8	2	4	151	80	37	20	4	42	10	42	11	2	5	4	1	3	15	7	7	7	7	7	15	6	11	5	6	3	1	6	7	8	3	6	4	8	4	3	9	8	2	4	151	80	37	20	4	42	10	42	11
GCF_000011345.1	4	4	1	2	2	12	4	6	4	6	3	11	6	6	5	4	1	1	5	3	7	5	5	2	6	2	3	15	8	1	5	127	74	24	12	3	30	6	36	10	4	4	1	2	2	12	4	6	4	6	3	11	6	6	5	4	1	1	5	3	7	5	5	2	6	2	3	15	8	1	5	127	74	24	12	3	30	6	36	10
GCF_000011385.1	2	6	1	3	5	12	6	7	4	6	3	12	6	9	12	4	1	1	4	3	7	5	4	3	6	1	3	15	7	2	4	140	80	27	14	3	32	7	35	17	2	6	1	3	5	12	6	7	4	6	3	12	6	9	12	4	1	1	4	3	7	5	4	3	6	1	3	15	7	2	4	140	80	27	14	3	32	7	35	17
GCF_000011965.2	5	8	3	1	6	15	9	10	19	5	6	11	6	5	2	5	1	1	8	14	8	8	9	5	6	3	4	16	10	6	4	203	82	61	31	4	42	9	45	6	5	8	3	1	6	15	9	10	19	5	6	11	6	5	2	5	1	1	8	14	8	8	9	5	6	3	4	16	10	6	4	203	82	61	31	4	42	9	45	6
GCF_000012305.1	3	3	1	1	3	14	8	6	7	6	7	9	6	6	5	5	1	2	10	5	4	7	4	2	6	4	3	11	6	1	4	139	70	37	22	5	35	8	40	9	3	3	1	1	3	14	8	6	7	6	7	9	6	6	5	5	1	2	10	5	4	7	4	2	6	4	3	11	6	1	4	139	70	37	22	5	35	8	40	9
GCF_000012325.1	5	7	3	2	4	16	5	6	14	11	7	14	6	9	5	5	1	3	8	13	11	7	4	3	6	2	3	13	7	7	5	192	83	56	29	6	44	6	45	10	5	7	3	2	4	16	5	6	14	11	7	14	6	9	5	5	1	3	8	13	11	7	4	3	6	2	3	13	7	7	5	192	83	56	29	6	44	6	45	10
GCF_000012365.1	4	9	7	3	5	19	7	10	12	9	7	14	7	12	15	6	3	1	12	17	9	6	7	8	11	4	5	16	8	12	4	253	103	85	39	6	47	9	61	21	4	9	7	3	5	19	7	10	12	9	7	14	7	12	15	6	3	1	12	17	9	6	7	8	11	4	5	16	8	12	4	253	103	85	39	6	47	9	61	21
GCF_000012405.1	3	4	4	1	3	14	7	7	8	6	5	12	6	6	2	6	2	1	4	8	7	3	5	5	5	3	3	14	7	2	4	134	67	30	14	4	34	8	38	6	3	4	4	1	3	14	7	7	8	6	5	12	6	6	2	6	2	1	4	8	7	3	5	5	5	3	3	14	7	2	4	134	67	30	14	4	34	8	38	6
GCF_000012485.1	4	4	1	3	2	12	5	7	8	10	5	12	6	5	8	6	1	1	6	3	7	7	4	5	5	2	3	19	7	2	4	145	83	34	15	6	38	6	44	11	4	4	1	3	2	12	5	7	8	10	5	12	6	5	8	6	1	1	6	3	7	7	4	5	5	2	3	19	7	2	4	145	83	34	15	6	38	6	44	11
GCF_000012565.1	2	3	1	0	2	9	6	5	3	2	6	0	2	0	0	0	0	2	4	1	2	5	3	3	5	2	2	6	5	1	3	62	34	18	8	3	12	4	30	0	2	3	1	0	2	9	6	5	3	2	6	0	2	0	0	0	0	2	4	1	2	5	3	3	5	2	2	6	5	1	3	62	34	18	8	3	12	4	30	0
GCF_000012665.1	5	5	2	4	3	8	6	9	6	5	6	10	9	9	12	7	2	2	4	7	5	5	4	6	6	1	3	10	6	4	5	143	70	38	18	4	36	5	35	18	5	5	2	4	3	8	6	9	6	5	6	10	9	9	12	7	2	2	4	7	5	5	4	6	6	1	3	10	6	4	5	143	70	38	18	4	36	5	35	18
GCF_000012805.1	5	4	2	2	3	12	6	6	6	8	7	9	6	8	9	6	1	2	7	3	6	7	6	4	6	3	3	11	7	1	4	154	75	46	25	5	36	6	42	14	5	4	2	2	3	12	6	6	6	8	7	9	6	8	9	6	1	2	7	3	6	7	6	4	6	3	3	11	7	1	4	154	75	46	25	5	36	6	42	14
GCF_000012825.1	8	5	10	4	3	10	7	8	10	11	7	9	7	9	14	5	2	1	9	7	11	8	6	5	6	1	3	8	6	3	5	169	77	40	20	5	41	8	31	19	8	5	10	4	3	10	7	8	10	11	7	9	7	9	14	5	2	1	9	7	11	8	6	5	6	1	3	8	6	3	5	169	77	40	20	5	41	8	31	19
GCF_000012865.1	4	4	2	1	3	10	6	8	8	9	7	14	6	8	6	6	1	1	8	10	6	7	4	4	5	1	3	12	7	3	4	139	77	40	20	6	39	4	34	11	4	4	2	1	3	10	6	8	8	9	7	14	6	8	6	6	1	1	8	10	6	7	4	4	5	1	3	12	7	3	4	139	77	40	20	6	39	4	34	11
GCF_000012885.1	6	5	1	1	2	10	6	8	7	5	5	16	6	7	8	5	1	2	7	3	5	5	6	5	6	3	3	16	7	4	5	152	76	36	16	5	40	5	43	13	6	5	1	1	2	10	6	8	7	5	5	16	6	7	8	5	1	2	7	3	5	5	6	5	6	3	3	16	7	4	5	152	76	36	16	5	40	5	43	13
GCF_000012925.1	7	4	2	3	2	9	6	7	6	7	6	13	6	9	8	6	1	3	9	3	6	7	8	5	5	2	4	13	8	1	5	145	73	37	20	6	35	4	41	15	7	4	2	3	2	9	6	7	6	7	6	13	6	9	8	6	1	3	9	3	6	7	8	5	5	2	4	13	8	1	5	145	73	37	20	6	35	4	41	15
GCF_000012945.1	4	7	8	2	6	20	7	13	12	13	8	16	9	14	13	7	3	1	15	20	8	6	7	5	11	4	6	15	9	8	4	286	114	96	40	7	55	8	62	22	4	7	8	2	6	20	7	13	12	13	8	16	9	14	13	7	3	1	15	20	8	6	7	5	11	4	6	15	9	8	4	286	114	96	40	7	55	8	62	22
GCF_000012965.1	3	3	2	1	2	13	4	6	7	8	5	13	5	6	5	5	0	3	3	3	6	4	3	3	5	2	3	12	7	3	4	122	70	29	11	4	36	5	35	9	3	3	2	1	2	13	4	6	7	8	5	13	5	6	5	5	0	3	3	3	6	4	3	3	5	2	3	12	7	3	4	122	70	29	11	4	36	5	35	9
GCF_000012985.1	4	7	3	1	5	14	8	8	13	13	8	11	8	8	7	6	3	2	10	8	8	6	6	3	10	3	5	18	7	8	5	209	96	63	28	6	46	5	55	11	4	7	3	1	5	14	8	8	13	13	8	11	8	8	7	6	3	2	10	8	8	6	6	3	10	3	5	18	7	8	5	209	96	63	28	6	46	5	55	11
GCF_000013025.1	4	5	2	2	2	13	5	6	8	7	5	10	7	8	8	4	2	2	8	6	7	7	7	4	3	2	3	17	7	5	4	153	69	41	21	4	33	7	39	13	4	5	2	2	2	13	5	6	8	7	5	10	7	8	8	4	2	2	8	6	7	7	7	4	3	2	3	17	7	5	4	153	69	41	21	4	33	7	39	13
GCF_000013085.1	5	5	3	4	5	13	7	10	10	9	7	12	5	9	10	6	2	2	11	10	7	9	9	5	7	3	4	21	9	4	4	185	92	50	29	6	48	8	49	16	5	5	3	4	5	13	7	10	10	9	7	12	5	9	10	6	2	2	11	10	7	9	9	5	7	3	4	21	9	4	4	185	92	50	29	6	48	8	49	16
GCF_000013145.1	2	3	1	0	2	9	6	5	3	2	6	0	2	0	0	0	0	1	4	1	2	5	3	3	5	2	2	7	5	1	3	62	34	18	8	3	12	4	31	0	2	3	1	0	2	9	6	5	3	2	6	0	2	0	0	0	0	1	4	1	2	5	3	3	5	2	2	7	5	1	3	62	34	18	8	3	12	4	31	0
GCF_000013345.1	4	6	3	3	5	17	5	9	4	6	6	13	6	14	8	7	2	0	9	7	8	5	9	3	9	4	3	15	10	8	4	168	79	45	21	5	43	10	46	18	4	6	3	3	5	17	5	9	4	6	6	13	6	14	8	7	2	0	9	7	8	5	9	3	9	4	3	15	10	8	4	168	79	45	21	5	43	10	46	18
GCF_000013405.1	4	3	3	2	3	8	6	7	5	5	6	15	7	6	10	5	1	2	4	8	3	4	3	5	5	3	3	4	7	3	4	126	71	27	15	5	37	4	36	12	4	3	3	2	3	8	6	7	5	5	6	15	7	6	10	5	1	2	4	8	3	4	3	5	5	3	3	4	7	3	4	126	71	27	15	5	37	4	36	12
GCF_000013645.1	4	11	9	5	6	20	7	7	11	11	8	13	7	13	21	5	3	1	13	20	9	8	6	4	10	4	6	15	9	8	4	286	114	102	47	7	48	8	59	26	4	11	9	5	6	20	7	7	11	11	8	13	7	13	21	5	3	1	13	20	9	8	6	4	10	4	6	15	9	8	4	286	114	102	47	7	48	8	59	26
GCF_000013665.1	5	5	10	4	5	13	5	5	6	7	7	10	6	11	8	5	3	2	10	4	6	9	4	5	7	2	3	13	7	6	4	173	83	46	21	6	40	5	48	16	5	5	10	4	5	13	5	5	6	7	7	10	6	11	8	5	3	2	10	4	6	9	4	5	7	2	3	13	7	6	4	173	83	46	21	6	40	5	48	16
GCF_000013705.1	3	8	2	3	6	15	8	9	6	8	7	11	6	8	9	5	1	2	6	7	7	6	3	5	7	2	3	13	8	9	4	165	80	47	23	6	45	8	46	14	3	8	2	3	6	15	8	9	6	8	7	11	6	8	9	5	1	2	6	7	7	6	3	5	7	2	3	13	8	9	4	165	80	47	23	6	45	8	46	14
GCF_000013765.1	4	6	2	1	3	14	7	6	10	8	7	14	6	11	12	5	1	3	8	6	8	7	5	3	7	2	4	10	7	7	5	185	91	52	24	5	44	8	43	18	4	6	2	1	3	14	7	6	10	8	7	14	6	11	12	5	1	3	8	6	8	7	5	3	7	2	4	10	7	7	5	185	91	52	24	5	44	8	43	18
GCF_000013885.1	5	5	2	2	2	13	6	6	8	6	6	10	6	9	15	5	1	2	8	6	5	10	6	5	6	3	4	12	10	5	4	165	82	48	24	4	36	7	44	19	5	5	2	2	2	13	6	6	8	6	6	10	6	9	15	5	1	2	8	6	5	10	6	5	6	3	4	12	10	5	4	165	82	48	24	4	36	7	44	19
GCF_000013905.1	3	3	1	1	3	16	8	6	8	6	7	10	6	6	6	5	1	2	10	6	5	7	4	2	6	5	3	11	6	5	4	155	73	43	22	5	37	8	40	10	3	3	1	1	3	16	8	6	8	6	7	10	6	6	6	5	1	2	10	6	5	7	4	2	6	5	3	11	6	5	4	155	73	43	22	5	37	8	40	10
GCF_000013985.1	4	5	2	1	4	13	7	8	8	5	6	10	6	7	2	5	1	2	8	8	7	8	7	4	9	2	3	10	6	7	4	149	68	43	21	4	37	8	43	7	4	5	2	1	4	13	7	8	8	5	6	10	6	7	2	5	1	2	8	8	7	8	7	4	9	2	3	10	6	7	4	149	68	43	21	4	37	8	43	7
GCF_000014005.1	2	7	5	2	2	12	6	9	9	7	5	10	6	12	6	4	1	1	3	7	3	5	1	3	6	1	3	8	7	3	5	133	65	34	15	4	32	6	29	15	2	7	5	2	2	12	6	9	9	7	5	10	6	12	6	4	1	1	3	7	3	5	1	3	6	1	3	8	7	3	5	133	65	34	15	4	32	6	29	15
GCF_000014025.1	3	3	2	0	2	11	4	6	7	6	5	15	5	7	7	5	0	2	4	2	6	4	3	2	7	2	3	8	7	1	4	118	70	27	13	4	37	3	32	11	3	3	2	0	2	11	4	6	7	6	5	15	5	7	7	5	0	2	4	2	6	4	3	2	7	2	3	8	7	1	4	118	70	27	13	4	37	3	32	11
GCF_000014145.1	1	4	1	2	3	11	5	7	6	9	5	7	6	8	7	4	1	2	5	4	6	4	3	3	9	2	3	9	7	7	5	122	64	31	11	4	31	6	38	13	1	4	1	2	3	11	5	7	6	9	5	7	6	8	7	4	1	2	5	4	6	4	3	3	9	2	3	9	7	7	5	122	64	31	11	4	31	6	38	13
GCF_000014185.1	3	6	3	3	5	14	8	10	7	5	6	11	7	8	6	6	1	2	9	7	7	4	5	6	7	2	2	10	6	5	4	152	70	40	19	5	34	7	37	11	3	6	3	3	5	14	8	10	7	5	6	11	7	8	6	6	1	2	9	7	7	4	5	6	7	2	2	10	6	5	4	152	70	40	19	5	34	7	37	11
GCF_000014265.1	3	5	1	3	4	12	5	7	4	9	3	12	6	6	8	4	1	1	5	2	7	5	5	3	7	2	3	18	9	2	5	147	86	29	15	4	36	7	40	12	3	5	1	3	4	12	5	7	4	9	3	12	6	6	8	4	1	1	5	2	7	5	5	3	7	2	3	18	9	2	5	147	86	29	15	4	36	7	40	12
GCF_000014425.1	4	5	2	1	1	5	7	5	4	5	2	0	4	9	6	4	1	2	4	4	2	6	2	2	2	3	3	1	7	1	5	66	27	14	11	2	10	5	17	11	4	5	2	1	1	5	7	5	4	5	2	0	4	9	6	4	1	2	4	4	2	6	2	2	2	3	3	1	7	1	5	66	27	14	11	2	10	5	17	11
GCF_000014445.1	4	7	7	1	2	12	7	6	5	9	4	9	7	13	6	5	1	1	3	1	7	7	3	7	5	2	3	1	6	1	5	124	63	22	14	4	36	5	31	13	4	7	7	1	2	12	7	6	5	9	4	9	7	13	6	5	1	1	3	1	7	7	3	7	5	2	3	1	6	1	5	124	63	22	14	4	36	5	31	13
GCF_000014505.1	1	5	6	1	1	13	6	6	3	3	5	0	6	9	2	4	1	2	5	2	3	3	3	5	5	3	3	0	7	1	5	84	34	16	11	2	13	5	24	8	1	5	6	1	1	13	6	6	3	3	5	0	6	9	2	4	1	2	5	2	3	3	3	5	5	3	3	0	7	1	5	84	34	16	11	2	13	5	24	8
GCF_000014705.1	4	6	3	1	3	14	6	6	11	8	7	13	6	12	13	5	1	3	14	11	7	7	6	3	7	2	4	13	7	7	5	206	102	61	34	5	44	7	54	20	4	6	3	1	3	14	6	6	11	8	7	13	6	12	13	5	1	3	14	11	7	7	6	3	7	2	4	13	7	7	5	206	102	61	34	5	44	7	54	20
GCF_000014765.1	5	4	2	1	4	13	6	6	7	8	7	10	6	8	5	5	1	1	8	3	6	7	6	4	5	2	3	10	7	1	4	144	78	39	21	5	38	6	38	10	5	4	2	1	4	13	6	6	7	8	7	10	6	8	5	5	1	1	8	3	6	7	6	4	5	2	3	10	7	1	4	144	78	39	21	5	38	6	38	10
GCF_000014785.1	5	3	2	1	3	14	6	6	7	9	7	11	5	10	7	4	1	2	8	9	7	8	5	4	5	3	3	15	7	6	4	165	78	49	26	5	37	7	45	14	5	3	2	1	3	14	6	6	7	9	7	11	5	10	7	4	1	2	8	9	7	8	5	4	5	3	3	15	7	6	4	165	78	49	26	5	37	7	45	14
GCF_000014865.1	5	5	2	3	2	13	6	6	6	7	9	11	6	9	10	5	1	2	8	4	6	7	5	4	5	2	3	16	8	1	4	148	80	34	16	6	38	7	43	16	5	5	2	3	2	13	6	6	6	7	9	11	6	9	10	5	1	2	8	4	6	7	5	4	5	2	3	16	8	1	4	148	80	34	16	6	38	7	43	16
GCF_000014885.1	4	7	2	1	4	13	6	7	11	8	7	13	7	13	7	5	1	4	11	13	7	7	5	3	8	2	3	14	7	8	5	197	94	57	31	5	43	7	53	16	4	7	2	1	4	13	6	7	11	8	7	13	7	13	7	5	1	4	11	13	7	7	5	3	8	2	3	14	7	8	5	197	94	57	31	5	43	7	53	16
GCF_000014965.1	6	4	1	4	2	10	6	8	7	6	6	15	9	10	9	8	4	4	7	10	4	7	6	6	5	2	4	12	7	2	5	165	80	46	24	6	38	3	38	16	6	4	1	4	2	10	6	8	7	6	6	15	9	10	9	8	4	4	7	10	4	7	6	6	5	2	4	12	7	2	5	165	80	46	24	6	38	3	38	16
GCF_000015025.1	3	4	5	2	5	14	5	9	5	7	5	15	7	12	7	7	2	1	3	6	7	3	4	4	5	4	3	10	7	8	4	145	72	36	12	4	37	7	38	16	3	4	5	2	5	14	5	9	5	7	5	15	7	12	7	7	2	1	3	6	7	3	4	4	5	4	3	10	7	8	4	145	72	36	12	4	37	7	38	16
GCF_000015045.1	5	4	2	2	3	8	7	8	6	7	6	12	6	8	11	5	1	2	9	4	5	6	8	5	6	1	4	13	8	3	5	137	72	31	16	6	35	5	40	16	5	4	2	2	3	8	7	8	6	7	6	12	6	8	11	5	1	2	9	4	5	6	8	5	6	1	4	13	8	3	5	137	72	31	16	6	35	5	40	16
GCF_000015105.1	3	3	2	2	2	13	5	6	5	5	6	10	5	6	4	5	1	2	2	4	5	5	2	4	4	2	3	9	7	3	4	117	63	29	13	4	34	5	38	8	3	3	2	2	2	13	5	6	5	5	6	10	5	6	4	5	1	2	2	4	5	5	2	4	4	2	3	9	7	3	4	117	63	29	13	4	34	5	38	8
