accession	genome_size_bp	gc_percent	genes_total	genes_proteinCoding	checkm_completeness	checkm_contamination	coding_density
GCF_001484725.1	4352446	31	4049	3909	98.76	1.86	84.6378335308468
GCF_001507665.1	3264334	70.5	3305	3202	97.19	0.47	89.9289717289959
GCF_001543205.1	2013339	39.5	1867	1770	93.4	6.06	85.1871443408189
GCF_001553955.1	2649137	43.5	2383	2260	99.22	0.27	85.0292378234874
GCF_001610955.1	3499317	52.5	3624	3373	99.37	1.14	85.5124871510641
GCF_001634285.1	3158269	43.5	3348	3136	96.02	2.06	87.6445609921131
GCF_001644705.1	4919833	56	4286	4126	98.84	1.41	86.3285400134517
GCF_001682385.1	4451751	68	4129	4050	96.87	2.59	91.268424491846
GCF_001687475.2	1520669	28	1534	1423	99.2	0	92.6367934113209
GCF_001698225.1	5701501	68	5106	4998	100	0.34	91.3494358766227
GCF_001720485.1	4176400	62.5	3494	3371	99.72	1.51	84.8922277559621
GCF_001729805.1	4899997	56	4661	4458	99.46	0.08	89.5416874745025
GCF_001750725.1	4952770	54.5	4721	4540	98.89	0.37	89.6020408781349
GCF_001856645.1	4352852	30	4129	3955	98.54	0.81	82.6459755580939
GCF_001887595.1	4765486	64.5	4390	4305	100	1.23	90.7766804896709
GCF_001888925.1	1891796	50	1948	1688	98.93	1.51	85.3658639726482
GCF_001941345.1	2862233	55	2672	2557	99.07	0.58	88.4702608068595
GCF_001941425.1	2790185	55.5	2552	2459	99.49	0	89.3215324431893
GCF_001941465.1	2758653	60	2553	2431	99.38	3.05	89.2588158061199
GCF_001951155.1	4007868	42	3577	3509	92.35	6.11	92.4684146284259
GCF_001971585.1	2534178	35.5	2570	2470	99.13	0	89.0686052834489
GCF_002007645.1	4250973	52	3477	3393	94.83	6.9	88.2774837666577
GCF_002009335.2	4455976	57	3906	3804	97.65	1.85	87.1342888740873
GCF_002024805.1	4433522	36	4170	4085	93.66	3.31	89.198407045234
GCF_002043005.1	5693067	62.5	5315	5153	98.93	0.69	89.6046366571832
GCF_002080395.1	1871495	34.5	2030	1951	99.67	0.1	93.2151568665692
GCF_002080475.1	4586728	35.5	4363	4140	97.52	1.14	85.0624889899728
GCF_002096055.1	4351649	71	4179	4101	99.28	1.58	90.9409743295013
GCF_002097715.1	7840830	67	7195	6975	99.47	2.64	87.9153354938189
GCF_002155265.1	2337763	52	2123	2009	99.49	0.44	87.9337212540365
GCF_002201795.1	4775573	39.5	3644	3565	99.23	1.32	85.7628812291216
GCF_002214645.1	4061276	66.5	3833	3706	98.87	0.25	90.407719150336
GCF_002234535.1	6606717	71	5462	5343	97.99	0	80.2357963872223
GCF_002263515.1	5243930	69	4703	4536	97.73	5.34	82.5413192014386
GCF_002278135.3	8589152	64	8030	7743	99.91	0.3	85.2889202566214
GCF_002302565.1	2414275	36.5	2135	2073	99.74	0.49	88.4505700469085
GCF_002305895.1	8973512	70.5	7358	7194	97.94	1.67	90.3192640740883
GCF_002355475.1	6242949	65.5	5828	5669	99.34	0.72	88.7013172781005
GCF_002355595.1	7814405	44	6210	6114	97.77	2.98	90.8760167920654
GCF_002356555.2	2834560	56	2609	2512	88.6	2.47	87.8749435538496
GCF_002407065.1	3953253	71.5	3524	3450	95.18	14.61	90.7962379336713
GCF_002441855.2	4337501	48	4127	4010	99.36	0.96	88.9851552771976
GCF_002706425.1	2951508	43	2866	2719	98.35	4.6	85.6099661596716
GCF_002706665.1	1978157	63.5	1664	1575	99.21	5	88.8208064375072
GCF_002706745.1	2551839	36.5	2552	2465	99.13	3.27	88.5951660743487
GCF_002706795.1	5400144	40.5	5002	4752	99.24	2.53	84.5474305870362
GCF_002752675.1	7530059	63.5	6575	6380	84.87	12.83	89.7586592615011
GCF_002770595.1	4376354	42	4027	3928	99.28	1.99	87.644166811003
GCF_002804065.1	3352175	58.5	3270	3141	98.17	0.52	86.7820444935005
GCF_002813755.1	3504528	38	3282	3126	99.1	1.38	84.9137458739094
GCF_002844395.1	3604547	35	3340	3194	98.14	0.62	85.2103745630172
GCF_002849715.1	5032705	64.5	4682	4559	99.21	3.95	87.9108352267816
GCF_002849895.1	2401923	35.5	2353	2255	98.9	1.31	88.5170340597929
GCF_002982115.1	4681723	37.5	4635	4420	88.16	9.38	83.4854176549958
GCF_003010495.1	2478942	53	2339	2231	98.17	0.81	86.9971947709951
GCF_003015125.1	4655467	67.5	4420	4246	94.51	5.24	90.5166549349399
GCF_003019295.1	2180101	27	2068	1963	98.5	0.12	91.3410433736786
GCF_003096175.1	5695241	29.5	5188	5007	99.38	2.48	84.3490731998874
GCF_003149495.1	8998893	67.5	7479	7225	96.04	4.82	83.5307298353253
GCF_003194085.1	1748063	54.5	1770	1713	98.75	0	93.6680771802847
GCF_003258315.1	5045683	61	3796	3697	93.38	2.43	87.6230631214843
GCF_003261575.2	6300829	53.5	5950	5710	98.25	2.96	88.1303555452783
GCF_003344925.1	2970356	35	2695	2627	99.11	0.57	91.132241387901
GCF_003355475.1	3720646	73	3351	3257	94.9	10.5	90.4976447638394
GCF_003367075.2	3757845	40	3415	3261	98.75	0.31	86.5876852291673
GCF_003444775.1	4157290	70	4055	3967	99.77	0.23	89.279482547525
GCF_003534205.1	3406292	41.5	3264	3154	85.38	6.11	87.0276241731478
GCF_003544835.1	1969846	27.5	2054	1985	98.58	0	93.6308219018136
GCF_003589745.1	2810441	35	2629	2510	99.38	0.31	90.0772156398231
GCF_003606265.1	3404718	28	3247	3059	98.51	0	85.0244866094637
GCF_003606365.2	2714973	36.5	2547	2428	99.05	2.4	82.3903589464794
GCF_003628755.1	2969292	51.5	2894	2802	99.09	0	89.4078790499554
GCF_003660105.1	2108340	27.5	2158	2087	98.9	0.92	92.896781354051
GCF_003711105.1	8287152	72.5	7314	7130	90.48	9.58	86.1522631659224
GCF_003719195.1	5617593	61.5	5050	4943	97.48	2.22	88.8291658010824
GCF_003722335.1	5659202	69.5	5256	5098	95.24	6.97	89.6938826357497
GCF_003815915.1	4253895	34.5	3957	3842	98.9	1.74	87.1138568300346
GCF_003860345.1	4358096	61	4129	4007	87.73	16.9	90.3404147132142
GCF_003860565.1	2759562	33	2544	2474	100	0.25	89.0095964504512
GCF_003966655.1	2921399	58.5	3039	2888	97.21	3.22	90.2545663909654
GCF_004101845.1	1916521	42	1992	1839	98.69	0.74	86.6907276257343
GCF_004124315.2	4125766	44	4224	3993	98.79	0	88.1095049985869
GCF_004154955.1	3224506	59.5	3253	3155	98.25	0	88.6456716160553
GCF_004295125.1	3658040	46	3771	3591	99.38	1.32	89.3575247946988
GCF_004359375.1	1616430	39.5	1604	1505	91.98	1.33	86.3007368088937
GCF_004803795.1	2571679	44.5	2509	2373	98.63	0.42	82.3708946567593
GCF_004803815.1	2097887	45.5	2091	2009	98.74	0.52	87.3472212755025
GCF_005952805.1	4084412	66	3842	3753	99.66	0.46	92.7182174570048
GCF_006459125.1	3016922	30	3010	2937	99.82	1.29	93.4056631228782
GCF_006711645.1	5785203	55	5602	5308	95.11	2.94	86.6966811709114
GCF_006739385.1	2494738	60	2443	2323	97.3	0.62	89.9891692033392
GCF_007970465.1	3173955	69.5	2894	2788	99.63	3.54	89.750138234474
GCF_007995155.1	4916069	37	4682	4475	99.35	0.99	81.9121131131398
GCF_008298035.1	7816689	50.5	5909	5810	99.42	0.19	85.9507139148046
GCF_008705175.1	5940808	30	5296	5098	98.76	0.62	80.1504610147307
GCF_009662475.1	3415726	53	3618	3474	96.29	3.66	90.1320831940267
GCF_009831375.1	3549191	43	3563	3421	98.61	0.75	89.9949312392599
GCF_010509075.1	2455328	60.5	2194	2101	84.85	7.53	86.3601930169818
GCF_010509575.1	3102523	56.5	3009	2876	88.18	6.74	87.6964328709247
GCF_010669205.1	6197116	45.5	5818	5616	96.45	2.3	88.8079067746997
GCF_010977555.1	5963910	68.5	5487	5326	97.6	5.14	89.4409204699601
GCF_011067105.1	3505947	66	3367	3266	99.53	0.59	87.0551950728291
GCF_012317185.1	4718906	43.5	4626	4494	88.23	3.78	84.921865364557
GCF_013201625.1	2276457	26.5	2289	2212	98.84	0.44	92.8211251080078
GCF_013340845.1	2491293	44	2365	2307	99.66	0.21	90.9061680019171
GCF_013372225.1	1820334	29	1851	1775	97.99	0.95	91.4889245599983
GCF_014058425.1	2497143	35.5	2441	2349	99.13	1.31	88.3113622247504
GCF_014131755.1	6304193	43	4890	4718	98.37	0.41	89.577999912122
GCF_014779555.2	6239188	67	5184	5074	86.64	26.3	84.1498765544491
GCF_014898175.1	2965103	62.5	2396	2288	95.41	1.16	87.058796945671
GCF_015291705.1	9865973	63.5	9393	9161	100	0.3	84.4510217086546
GCF_015476235.1	3858501	70.5	3672	3588	99.85	0.46	91.7264761626341
GCF_016026575.1	1447017	42.5	1205	1146	99.02	0.12	86.6747246231385
GCF_016027375.1	3355233	28.5	3062	2908	96.42	3.85	83.4251451389516
GCF_016027855.1	4554875	54	4275	4097	100	0.21	88.1526496336343
GCF_016127195.1	4551079	59	4261	4077	99.13	0.68	87.3763562443104
GCF_016127475.1	1893964	29	1797	1716	99.88	0.04	90.1570462796547
GCF_016127955.1	3190396	68.5	2675	2588	99.84	0	87.1553249189129
GCF_016728365.1	2451854	59.5	2333	2221	99.69	0	89.8999695740448
GCF_016889425.1	2474943	58.5	2175	2077	99.33	0.1	87.6817769136502
GCF_016889465.1	2493537	57	2434	2250	99.9	0.41	86.7425267802323
GCF_016894385.1	6694750	67	6095	5931	97.14	1.13	88.1838156764629
GCF_017161425.1	3424851	68	3383	3301	98.65	0	91.3551275661335
GCF_017348915.1	4395246	55	4294	4086	100	0	88.9912646527635
GCF_017894365.1	4376837	65.5	4145	4020	99.63	1.44	90.1564074695951
GCF_017894385.1	5407396	65.5	4937	4832	99.91	1.08	90.8692834776665
GCF_018223745.1	5950247	30	5343	5118	91.8	6.46	79.9308835414732
GCF_019047765.1	5021319	52	4876	4653	99.21	2.19	88.5490047535319
GCF_019048065.1	4964815	53.5	4742	4581	99.04	4.66	88.9658527054885
GCF_019048125.1	5281764	55	5036	4821	97.99	0.51	88.3089058882601
GCF_019048165.1	2510261	61.5	2426	2323	97.84	0.41	91.4411688665043
GCF_019048245.1	4915930	55	4788	4591	99.57	0.06	89.5863651435232
GCF_019343455.1	3774827	57	3450	3347	88.83	3.63	88.366009886016
GCF_019915265.1	3806094	35.5	3821	3425	91.18	1.43	80.6962465982186
GCF_019930665.1	5678582	40.5	4359	4198	100	0	88.9976758282261
GCF_019931005.1	1965420	38	1946	1843	99.41	0.06	87.834305135798
GCF_019931045.1	6483357	64	5999	5840	95.84	0.95	87.7001991406612
GCF_020097295.1	4392400	60	4045	3861	98.83	1.23	87.3259038338949
GCF_020097475.1	4645928	50	4475	4277	98.22	1.36	88.8652600729069
GCF_020099175.1	5498848	58	5291	5069	99.12	0.82	88.3021498321103
GCF_020099335.1	5071999	53.5	4879	4685	99.25	2.98	88.4662437827768
GCF_020525545.1	5521194	57.5	5337	5117	99.32	0.4	88.4680197797795
GCF_020546685.1	3279598	66.5	3208	3121	98.73	0.24	89.5348759207684
GCF_020736045.1	1890662	38	1889	1756	99.17	0.02	88.6130360688478
GCF_021278985.1	5381137	54.5	5182	4799	99.04	0.21	88.2626106713135
GCF_021495345.1	5291095	64.5	4983	4868	99.83	0.8	89.6296513292617
GCF_023278185.1	9518205	63.5	9036	8688	99.4	0.42	84.3751421617837
GCF_023520795.1	2465625	59.5	2337	2216	98.32	2.92	89.321855513308
GCF_024734075.1	5388218	67	4899	4776	99.13	0.89	90.8040654628302
GCF_025144995.1	2857445	55	2367	2293	98.76	0.37	87.4732497038438
GCF_025147765.1	3649956	41.5	3504	3351	97.34	1.38	89.1351293001888
GCF_025148125.1	4685728	41.5	4454	4204	98.67	1.85	86.0745438062133
GCF_025148965.1	3006269	29	2790	2657	100	0	84.1951934440997
GCF_025149285.1	6931886	48	6342	6172	99.06	1.43	89.8065692367128
GCF_025149785.1	3373066	42.5	3297	3143	97.88	3.03	87.4428783783063
GCF_025264705.1	11523879	73	10346	10094	94.8	9.56	89.7746843749401
GCF_025998455.1	1696601	38.5	1629	1506	99.14	0	91.7389533543833
GCF_026427595.1	4226946	44	3749	3665	98.82	0.53	86.952778672829
GCF_026651875.1	6035649	51	5937	5517	98.2	11.62	81.0200361220475
GCF_028596125.1	2887185	37.5	2898	2775	99.15	0.36	89.326558568294
GCF_028609845.1	2329978	65	2105	2020	98.9	0.15	88.4419509540434
GCF_028609865.1	2567696	67	2462	2336	97.19	0.93	90.3530246571245
GCF_028609885.1	2524840	61.5	2268	2155	98.53	0.88	89.7660841875129
GCF_028751035.1	1700841	35.5	1736	1659	99.18	0.36	93.6580785623112
GCF_028877475.1	4698732	37.5	4740	4532	92.49	5.26	84.1073719463038
GCF_029094545.1	4239319	40	4392	4232	99.14	1.45	85.1513415244288
GCF_030296935.1	3444538	38.5	2738	2613	98.5	0	88.7192709152868
GCF_030406665.1	3563217	68	3364	3265	99.88	0.77	89.7955134363133
GCF_030408375.1	2353801	65	2252	2161	97.81	0.41	91.5488182730826
GCF_030408415.1	2284440	64	2234	2102	99.42	0.92	90.2022377475443
GCF_030408675.1	2786863	57	2587	2494	98.85	0.41	88.6558470940265
GCF_030440595.1	2866769	59	2615	2506	98.03	1.32	85.2437011841554
GCF_032878895.1	4851713	43	4006	3886	93.03	6.17	89.7072229952596
GCF_034356035.1	3597785	45	3461	3345	99.53	0.08	87.8103610971751
GCF_034424315.1	8421768	44	6695	6588	97.12	3.07	87.8058858899937
GCF_034424645.1	3721798	61.5	3459	3339	99.92	0.51	89.6706645551424
GCF_034478925.1	4227253	46	4384	4174	98.5	0.83	87.4636554755535
GCF_036323495.1	3536915	53	3228	3173	96.94	0.46	91.7195917911513
GCF_040267515.1	7267296	66	6661	6489	98.42	4.05	89.4164074230636
GCF_042926695.1	2550855	39	2494	2371	98.84	0.89	89.1520294175875
GCF_900324475.1	4717613	56	4498	4306	99.15	0.03	89.982031167033
GCF_900474615.1	2811859	32.5	2796	2698	98.2	3.01	87.7944804486996
GCF_900476005.1	4586140	61.5	4254	4057	99.68	0.88	86.8014277802248
GCF_900478035.1	2335089	59	2205	2125	99.05	0	89.5600981375871
GCF_900478045.1	2695970	60	2505	2406	99.84	0	89.9153180487914
GCF_900635955.1	4778444	55	4613	4317	97.17	0	88.4169407447278
GCF_900636915.1	2337153	42.5	2241	2108	99.22	0.02	88.6935515133156
GCF_900636985.1	5857964	55	5475	5281	99.36	0.9	88.1425184586317
GCF_900637635.1	3133723	41.5	2880	2794	98.53	0.74	89.4701924835093
GCF_900637895.1	3137220	36	2883	2815	99.26	1.4	88.5466113310511
GCF_900638015.1	2751104	41.5	2747	2633	83.76	6.25	89.2095318824734
GCF_900660615.1	1278574	24.5	1039	993	90.49	0	88.1184037842158
GCF_000006945.2	4951383	52	4717	4554	99.71	0.44	86.7467331854555
GCF_000007805.1	6538260	58.5	5933	5610	99.36	0.19	88.0861268900289
GCF_000008185.1	2843201	38	2630	2545	98.98	0	92.0041530655061
GCF_000009265.1	7751309	61	7503	7201	99.94	0.32	87.6982971521326
GCF_000009765.2	9119895	70.5	8044	7677	99.91	1.17	86.4340543394414
GCF_000009985.1	4967148	65	4763	4636	96.42	0	91.1044325637167
GCF_000010125.1	2577899	33	2545	2390	99.14	0.22	83.6798493657044
GCF_000010505.1	2354886	48.5	2097	1943	98	0.55	85.500402142609
GCF_000010665.1	5315620	62.5	4716	4611	99.63	0	86.3645068684368
GCF_000011345.1	2593857	54	2547	2449	99.59	0	89.8168634585484
GCF_000011965.2	4601048	64	4480	4368	99.62	1.3	90.9169823918377
GCF_000012805.1	3522111	50.5	3363	3255	96.92	1.86	87.0667903424963
GCF_000012825.1	5163189	42	4205	3982	99.94	1.06	88.9799501819515
GCF_000013085.1	4406557	65.5	3979	3870	98.34	1.06	88.6159194128205
GCF_000013645.1	9731138	62.5	8858	8535	99.94	0.03	86.2127533285419
GCF_000013905.1	3101097	42	2615	2524	99.6	0.25	83.226451800766
GCF_000014185.1	3225748	70.5	3325	3222	98.92	0.87	93.1423657396672
GCF_000014885.1	5396476	43.5	4631	4442	99.44	0	84.0325241880072
GCF_000016065.1	4602594	53.5	4037	3898	99.55	0.93	85.8351616501477
GCF_000016345.1	2159490	45	2176	2118	96.95	0.13	93.3074475917925
GCF_000018945.1	1884562	47	1963	1881	98.11	0	95.8695442230078
GCF_000019085.1	2362816	34.5	2407	2250	98.89	0.1	88.4348590833988
GCF_000019665.1	2287145	45.5	2131	2056	99.59	0	88.635482227843
GCF_000019725.1	6899110	71	6608	6449	100	0.25	85.8580744472838
GCF_000019945.1	5848997	69.5	5556	5396	99.68	0	86.3989843044885
GCF_000020025.1	9059191	41.5	7729	7334	99.49	0.7	81.5985555443085
GCF_000020045.1	8676562	62.5	7917	7534	99.94	0.68	85.4680459841121
GCF_000020125.1	8214658	62.5	7436	7238	99.94	0.45	85.7842408046689
GCF_000020385.1	3994874	54.5	3748	3664	99.83	0.08	92.0513387906602
GCF_000020985.1	2003803	34	2060	1998	99.11	1.07	94.2547246410949
GCF_000022025.1	4980870	66	4734	4581	99.54	2.01	89.4903500794038
GCF_000022065.1	4068724	37.5	3559	3417	98.76	3.26	87.7405299548458
