accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_name	organism_taxId	ORGANISM ECOSYSTEM CATEGORY
GCF_000019905.1	3.040786	3157	3027	47.5	Exiguobacterium artemiae 255-15	262543	Terrestrial
GCF_000021325.1	3.914947	3710	3574	66.5	Gluconacetobacter diazotrophicus PA1 5	272568	Plants
GCF_000021485.1	2.982397	3104	2952	59.0	Acidithiobacillus ferrooxidans ATCC 23270	243159	Terrestrial
GCF_000021925.1	5.279134	5031	4885	47.5	Desulfitobacterium hafniense DCB-2	272564	Wastewater
GCF_000022325.1	2.931662	2844	2660	35.0	Caldicellulosiruptor bescii DSM 6725	521460	Aquatic
GCF_000022905.1	2.819226	2677	2553	60.5	Corynebacterium aurimucosum ATCC 700975	548476	Mammals: Human
GCF_000022965.1	1.938483	1622	1536	60.5	Bifidobacterium animalis subsp. lactis DSM 10140	555970	Food production
GCF_000023125.1	6.96779	5825	5756	51.5	Dyadobacter fermentans DSM 18053	471854	Plants
GCF_000023145.1	2.446804	2112	2026	57.5	Corynebacterium kroppenstedtii DSM 44385	645127	Mammals: Human
GCF_000023285.1	2.612925	2251	2165	39.5	Capnocytophaga ochracea DSM 7271	521097	Mammals: Human
GCF_000024005.1	9.127347	7213	7090	45.0	Chitinophaga pinensis DSM 2588	485918	Terrestrial
GCF_000024165.1	5.306133	4758	4601	64.0	Candidatus Accumulibacter phosphatis	327160	Wastewater
GCF_000024285.1	3.205686	3216	3089	62.0	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	521098	Aquatic
GCF_000024425.1	3.097457	3135	3051	63.5	Meiothermus ruber DSM 1279	504728	Aquatic
GCF_000025305.1	2.329769	2192	2089	56.0	Acidaminococcus fermentans DSM 20731	591001	Mammals
GCF_000025485.1	3.669074	3351	3260	64.0	Allochromatium vinosum DSM 180	572477	Aquatic
GCF_000025965.1	4.727255	4592	4404	64.5	Aromatoleum aromaticum EbN1	76114	Terrestrial
GCF_000025985.1	5.2417	4323	4159	43.0	Bacteroides fragilis NCTC 9343	272559	Mammals: Human
GCF_000027145.1	2.797636	2791	2666	37.5	Listeria seeligeri serovar 1/2b str. SLCC3954	683837	Terrestrial
GCF_000055785.1	3.696649	3418	3315	64.0	Chromohalobacter israelensis DSM 3043	290398	Terrestrial
GCF_000067205.1	5.28795	5121	4944	65.5	Bordetella petrii	94624	Bioreactor
GCF_000069225.1	3.403786	3311	3188	72.5	Clavibacter sepedonicus	31964	Plants
GCF_000092025.1	5.674258	5336	5177	59.0	Agrobacterium fabrum str. C58	176299	Plants
GCF_000143145.1	3.638969	3537	3465	61.0	Hyphomicrobium denitrificans ATCC 51888	582899	Aquatic
GCF_000143685.1	4.630065	4342	4182	31.0	Clostridium ljungdahlii DSM 13528	748727	Birds
GCF_000144605.1	3.445263	3391	3331	68.5	Brevundimonas subvibrioides ATCC 15264	633149	Aquatic
GCF_000146185.1	2.831389	2746	2644	37.5	Lachnospira eligens ATCC 27750	515620	Mammals: Human
GCF_000146505.1	3.843004	3184	3101	48.0	Fibrobacter succinogenes subsp. succinogenes S85	59374	Mammals
GCF_000163895.2	1.931012	1737	1653	35.5	Filifactor alocis ATCC 35896	546269	Mammals: Human
GCF_000164865.1	4.814049	4568	4414	57.0	[Enterobacter] lignolyticus SCF1	701347	Terrestrial
GCF_000164905.1	1.742932	1959	1897	44.0	Hydrogenobacter thermophilus TK-6	608538	Terrestrial
GCF_000182745.2	3.513191	3388	3187	60.5	Komagataeibacter medellinensis NBRC 3288	634177	Food production
GCF_000190595.1	3.765936	3344	3276	32.0	Cellulophaga lytica DSM 7489	867900	Terrestrial
GCF_000192865.1	4.684316	4306	4154	44.0	Marinomonas mediterranea MMB-1	717774	Aquatic
GCF_000196175.1	3.78295	3601	3550	50.5	Bdellovibrio bacteriovorus HD100	264462	Terrestrial
GCF_000196275.1	3.247018	3172	3057	66.5	Deinococcus geothermalis DSM 11300	319795	Aquatic
GCF_000196435.1	2.642404	2335	2165	39.0	Bartonella tribocorum CIP 105476	382640	Mammals
GCF_000196555.1	2.385164	2033	1903	60.5	Bifidobacterium longum subsp. longum JCM 1217	565042	Mammals: Human
GCF_000196795.1	4.152543	3963	3813	38.5	Acinetobacter oleivorans DR1	436717	Terrestrial
GCF_000196855.1	1.95408	1981	1877	36.5	Leuconostoc gasicomitatum LMG 18811	762550	Food production
GCF_000196875.2	4.061825	3808	3718	63.5	Halomonas elongata DSM 2581	768066	Aquatic
GCF_000197735.1	3.918192	3700	3531	59.5	Glutamicibacter arilaitensis Re117	861360	Food production
GCF_000202835.1	4.214744	4017	3857	67.0	Acidiphilium multivorum AIU301	926570	Terrestrial
GCF_000204645.1	5.070751	4904	4750	68.0	Alicycliphilus denitrificans K601	596154	Wastewater
GCF_000210915.2	3.437906	3325	3267	36.5	Halobacteriovorax marinus SJ	862908	Aquatic
GCF_000212695.1	4.266344	3870	3793	74.5	Cellulomonas fimi ATCC 484	590998	Terrestrial
GCF_000218565.1	3.896074	3751	3669	62.5	Afipia carboxidovorans OM5	504832	Wastewater
GCF_000219215.1	8.480857	7966	7576	65.5	Cupriavidus necator N-1	1042878	Terrestrial
GCF_000219915.2	4.423879	4468	3576	55.0	Advenella kashmirensis WT001	1036672	Terrestrial
GCF_000220945.1	10.236779	9668	9478	71.5	Amycolatopsis mediterranei S699	713604	Terrestrial
GCF_000227465.1	4.207222	4301	4052	44.0	Bacillus spizizenii TU-B-10	1052585	Terrestrial
GCF_000235405.2	2.166381	2057	1979	39.0	Fervidobacterium pennivorans DSM 9078	771875	Aquatic
GCF_000236665.1	3.80698	3588	3505	65.5	Azospira oryzae PS	640081	Terrestrial
GCF_000255295.1	10.080619	8167	8045	70.0	Corallococcus coralloides DSM 2259	1144275	Terrestrial
GCF_000264765.2	4.329652	4043	3805	58.5	Edwardsiella anguillarum ET080813	667120	Mammals: Human
GCF_000284295.1	8.773466	8187	8029	71.0	Actinoplanes missouriensis 431	512565	Terrestrial
GCF_000284615.1	3.98948	3681	3596	57.5	Marinobacter nauticus ATCC 49840	1163748	Aquatic
GCF_000300005.1	4.928223	4473	4397	61.5	Alloalcanivorax dieselolei B5	930169	Aquatic
GCF_000300455.3	4.902027	4689	4517	53.5	Kosakonia sacchari SP1	1235834	Plants
GCF_000313175.2	3.983611	3661	3489	42.0	Leptospira santarosai serovar Shermani str. LT 821	758847	Mammals
GCF_000317675.1	4.176973	3601	3487	35.0	Cyanobacterium aponinum PCC 10605	755178	Aquatic
GCF_000344785.1	2.928683	2770	2635	52.5	Corynebacterium callunae DSM 20147	1121353	Terrestrial
GCF_000355695.1	3.063596	2953	2874	73.0	Clavibacter nebraskensis NCPPB 2581	1097677	Food production
GCF_000470775.1	2.686418	2778	2431	68.5	Leifsonia xyli subsp. cynodontis DSM 46306	1389489	Plants
GCF_000473995.1	5.107814	4549	4329	28.5	Clostridium saccharobutylicum DSM 13864	1345695	Plants
GCF_000478885.1	2.862526	2343	2274	63.5	Adlercreutzia equolifaciens DSM 19450	1384484	Mammals: Human
GCF_000508225.1	1.196717	952	887	29.5	Ehrlichia muris AS145	1423892	Mammals
GCF_000695095.2	4.716552	3975	3903	64.5	Gemmatimonas phototrophica	1379270	Aquatic
GCF_000697965.2	7.267502	6947	6729	62.5	Ensifer adhaerens	106592	Terrestrial
GCF_000724605.1	2.159306	1816	1740	62.0	Actinotignum schaalii	59505	Mammals: Human
GCF_000732925.1	9.053857	8607	8475	69.0	Amycolatopsis japonica	208439	Plants
GCF_000739435.1	2.501598	2343	2237	40.0	Actinobacillus suis ATCC 33415	743972	Mammals
GCF_000800395.1	3.531443	3393	3316	67.5	Deinococcus radiopugnans	57497	Terrestrial
GCF_000819565.1	4.969388	4922	4808	65.5	Celeribacter indicus	1208324	Aquatic
GCF_000829055.1	2.952961	2892	2632	48.0	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393	1423732	Food production
GCF_000832905.1	3.366995	3354	3077	47.0	Heyndrickxia coagulans DSM 1 = ATCC 7050	1121088	Food production
GCF_000953635.1	3.310028	2957	2881	40.5	Legionella micdadei	451	Mammals: Human
GCF_000953655.1	3.570857	3229	3132	39.0	Legionella hackeliae	449	Mammals: Human
GCF_000959545.1	7.528578	6767	6599	67.0	Burkholderia ambifaria AMMD	339670	Plants
GCF_000960995.1	6.820727	6077	5794	68.0	Burkholderia glumae LMG 2196 = ATCC 33617	1176492	Plants
GCF_000973705.1	4.141984	3884	3699	28.0	Clostridium sporogenes	1509	Terrestrial
GCF_001025155.1	2.021974	1643	1539	59.5	Bifidobacterium angulatum DSM 20098 = JCM 7096	518635	Mammals: Human
GCF_001025175.1	2.269415	2015	1876	59.0	Bifidobacterium breve DSM 20213 = JCM 1192	518634	Mammals: Human
GCF_001025195.1	2.079525	1783	1656	56.0	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	566552	Mammals: Human
GCF_001025215.1	2.313752	1899	1780	56.5	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	547043	Mammals: Human
GCF_001027285.1	12.489432	10013	9828	69.5	Archangium gephyra	48	Terrestrial
GCF_001028665.1	7.961346	7216	6985	66.5	Burkholderia pyrrocinia	60550	Terrestrial
GCF_001038625.1	5.752782	5291	5138	30.0	Clostridium carboxidivorans P7	536227	Wastewater
GCF_001040945.1	5.509723	4890	4801	63.5	Herbaspirillum seropedicae	964	Plants
GCF_001042595.1	2.635669	2194	2099	58.5	Bifidobacterium dentium JCM 1195 = DSM 20436	1150423	Unclassified
GCF_001042655.1	1.667406	1330	1260	41.5	Gardnerella vaginalis ATCC 14018 = JCM 11026	585528	Mammals: Human
GCF_001050115.1	3.381292	3174	2971	41.0	Bacillus smithii	1479	Food production
GCF_001277175.1	4.436873	4218	4052	58.0	Cronobacter universalis NCTC 9529	1074000	Aquatic
GCF_001277195.1	4.364114	4106	3938	57.5	Cronobacter muytjensii ATCC 51329	1159613	Mammals: Human
GCF_001277215.2	4.473761	4300	4098	57.0	Cronobacter malonaticus LMG 23826	1159491	Mammals: Human
GCF_001277235.1	4.628405	4392	4233	58.0	Cronobacter dublinensis subsp. dublinensis LMG 23823	1159554	Food production
GCF_001298465.1	1.840041	1914	1821	37.5	Campylobacter concisus	199	Mammals: Human
GCF_001302565.1	3.918424	3667	3560	60.0	Glutamicibacter halophytocola	1933880	Plants
GCF_001305595.1	7.609458	6789	6608	68.0	Azospirillum thiophilum	528244	Aquatic
GCF_001314995.1	6.472489	4927	4763	42.0	Bacteroides ovatus	28116	Mammals
GCF_001402875.1	3.724841	3329	3232	68.0	Blastochloris viridis	1079	Aquatic
GCF_001414055.1	3.957288	3793	3677	66.0	Caulobacter henricii	69395	Aquatic
GCF_001457455.1	2.463666	2381	2226	53.5	Corynebacterium diphtheriae	1717	Mammals: Human
GCF_001484725.1	4.352446	4049	3909	31.0	Clostridium autoethanogenum DSM 10061	1341692	Mammals
GCF_001507665.1	3.264334	3305	3202	70.5	Deinococcus actinosclerus	1768108	Terrestrial
GCF_001543205.1	2.013339	1867	1770	39.5	Aerococcus urinaeequi	51665	Mammals
GCF_001553955.1	2.649137	2383	2260	43.5	Faucicola osloensis	34062	Mammals: Human
GCF_001610955.1	3.499317	3624	3373	52.5	Geobacillus thermoleovorans	33941	Terrestrial
GCF_001634285.1	3.158269	3348	3136	43.5	Anoxybacteroides amylolyticum	294699	Terrestrial
GCF_001644705.1	4.919833	4286	4126	56.0	Dickeya solani IPO 2222	1225786	Plants
GCF_001682385.1	4.451751	4129	4050	68.0	Azoarcus olearius	418699	Plants
GCF_001687475.2	1.520669	1534	1423	28.0	Campylobacter hepaticus	1813019	Unclassified
GCF_001698225.1	5.701501	5106	4998	68.0	Gordonia terrae	2055	Mammals: Human
GCF_001720485.1	4.1764	3494	3371	62.5	Cobetia marina	28258	Aquatic
GCF_001729805.1	4.899997	4661	4458	56.0	Enterobacter roggenkampii	1812935	Mammals
GCF_001750725.1	4.95277	4721	4540	54.5	Enterobacter ludwigii	299767	Mammals: Human
GCF_001856645.1	4.352852	4129	3955	30.0	Clostridium pasteurianum DSM 525 = ATCC 6013	1262449	Terrestrial
GCF_001887595.1	4.765486	4390	4305	64.5	Luteibacter rhizovicinus DSM 16549	1440763	Terrestrial
GCF_001888925.1	1.891796	1948	1688	50.0	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	1217420	Food production
GCF_001941345.1	2.862233	2672	2557	55.0	Corynebacterium stationis	1705	Aquatic
GCF_001941425.1	2.790185	2552	2459	55.5	Corynebacterium ammoniagenes DSM 20306	649754	Mammals: Human
GCF_001941465.1	2.758653	2553	2431	60.0	Corynebacterium flavescens	28028	Food production
GCF_001951155.1	4.007868	3577	3509	42.0	Christiangramia flava JLT2011	1229726	Aquatic
GCF_001971585.1	2.534178	2570	2470	35.5	Companilactobacillus allii	1847728	Food production
GCF_002007645.1	4.250973	3477	3393	52.0	Anaerohalosphaera lusitana	1936003	Aquatic
GCF_002009335.2	4.455976	3906	3804	57.0	Desulfococcus multivorans	897	Wastewater
GCF_002024805.1	4.433522	4170	4085	36.0	Elizabethkingia bruuniana	1756149	Mammals: Human
GCF_002043005.1	5.693067	5315	5153	62.5	Martelella mediterranea DSM 17316	1122214	Aquatic
GCF_002080395.1	1.871495	2030	1951	34.5	Campylobacter helveticus	28898	Mammals
GCF_002080475.1	4.586728	4363	4140	35.5	Clostridium formicaceticum	1497	Wastewater
GCF_002096055.1	4.351649	4179	4101	71.0	Cnuibacter physcomitrellae	1619308	Plants
GCF_002097715.1	7.84083	7195	6975	67.0	Burkholderia ubonensis subsp. mesacidophila	265293	Terrestrial
GCF_002155265.1	2.337763	2123	2009	52.0	Corynebacterium pseudotuberculosis	1719	Mammals
GCF_002201795.1	4.775573	3644	3565	39.5	Alkalitalea saponilacus	889453	Aquatic
GCF_002214645.1	4.061276	3833	3706	66.5	Diaphorobacter nitroreducens	164759	Bioreactor
GCF_002234535.1	6.606717	5462	5343	71.0	Actinoalloteichus hoggarensis	1470176	Terrestrial
GCF_002263515.1	5.24393	4703	4536	69.0	Actinopolyspora erythraea	414996	Terrestrial
GCF_002278135.3	8.589152	8030	7743	64.0	Bradyrhizobium ottawaense	931866	Plants
GCF_002302565.1	2.414275	2135	2073	36.5	Capnocytophaga canimorsus	28188	Mammals: Human
GCF_002305895.1	8.973512	7358	7194	70.5	Corallococcus macrosporus DSM 14697	1189310	Terrestrial
GCF_002355475.1	6.242949	5828	5669	65.5	Metapseudomonas furukawaii	1149133	Terrestrial
GCF_002355595.1	7.814405	6210	6114	44.0	Filimonas lacunae	477680	Aquatic
GCF_002356555.2	2.83456	2609	2512	56.0	Halorhodospira halochloris	1052	Aquatic
GCF_002407065.1	3.953253	3524	3450	71.5	Brachybacterium ginsengisoli	1331682	Terrestrial
GCF_002441855.2	4.337501	4127	4010	48.0	Eubacterium maltosivorans	2041044	Mammals: Human
GCF_002706425.1	2.951508	2866	2719	43.0	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	913848	Food production
GCF_002706665.1	1.978157	1664	1575	63.5	Bifidobacterium pseudolongum subsp. globosum DSM 20092	1410605	Mammals
GCF_002706745.1	2.551839	2552	2465	36.5	Companilactobacillus farciminis KCTC 3681 = DSM 20184	936140	Food production
GCF_002706795.1	5.400144	5002	4752	40.5	Brevibacillus laterosporus DSM 25	1121121	Aquatic
GCF_002752675.1	7.530059	6575	6380	63.5	Massilia violaceinigra	2045208	Terrestrial
GCF_002770595.1	4.376354	4027	3928	42.0	Chryseobacterium camelliae	1265445	Plants
GCF_002804065.1	3.352175	3270	3141	58.5	Kyrpidia spormannii	2055160	Aquatic
GCF_002813755.1	3.504528	3282	3126	38.0	Enterococcus mundtii	53346	Terrestrial
GCF_002844395.1	3.604547	3340	3194	35.0	Acetivibrio saccincola	1677857	Bioreactor
GCF_002849715.1	5.032705	4682	4559	64.5	Crystallibacter crystallopoietes	37928	Terrestrial
GCF_002849895.1	2.401923	2353	2255	35.5	Companilactobacillus alimentarius DSM 20249	1423720	Food production
GCF_002982115.1	4.681723	4635	4420	37.5	Lysinibacillus sphaericus	1421	Mammals: Human
GCF_003010495.1	2.478942	2339	2231	53.0	Megasphaera elsdenii DSM 20460	1064535	Mammals
GCF_003015125.1	4.655467	4420	4246	67.5	Caulobacter segnis	88688	Terrestrial
GCF_003019295.1	2.180101	2068	1963	27.0	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	Mammals: Human
GCF_003096175.1	5.695241	5188	5007	29.5	Clostridium drakei	332101	Aquatic
GCF_003149495.1	8.998893	7479	7225	67.5	Gemmata obscuriglobus	114	Aquatic
GCF_003194085.1	1.748063	1770	1713	54.5	Aurantimicrobium photophilum	1987356	Aquatic
GCF_003258315.1	5.045683	3796	3697	61.0	Bradymonas sediminis	1548548	Aquatic
GCF_003261575.2	6.300829	5950	5710	53.5	Klebsiella huaxiensis	2153354	Mammals: Human
GCF_003344925.1	2.970356	2695	2627	35.0	Flavobacterium arcticum	1784713	Aquatic
GCF_003355475.1	3.720646	3351	3257	73.0	Brachybacterium saurashtrense	556288	Plants
GCF_003367075.2	3.757845	3415	3261	40.0	Cylindrospermopsis raciborskii Cr2010	2108055	Aquatic
GCF_003444775.1	4.15729	4055	3967	70.0	Deinococcus ficus	317577	Mammals
GCF_003534205.1	3.406292	3264	3154	41.5	Listeria weihenstephanensis	1006155	Aquatic
GCF_003544835.1	1.969846	2054	1985	27.5	Aliarcobacter skirrowii CCUG 10374	1032239	Mammals
GCF_003589745.1	2.810441	2629	2510	35.0	Lachnoanaerobaculum umeaense	617123	Mammals: Human
GCF_003606265.1	3.404718	3247	3059	28.0	Clostridium septicum	1504	Mammals: Human
GCF_003606365.2	2.714973	2547	2428	36.5	Companilactobacillus zhachilii	2304606	Food production
GCF_003628755.1	2.969292	2894	2802	51.5	Christensenella minuta	626937	Mammals: Human
GCF_003660105.1	2.10834	2158	2087	27.5	Aliarcobacter cryaerophilus ATCC 43158	1032070	Mammals
GCF_003711105.1	8.287152	7314	7130	72.5	Actinoplanes teichomyceticus ATCC 31121	457423	Terrestrial
GCF_003719195.1	5.617593	5050	4943	61.5	Herbaspirillum rubrisubalbicans	80842	Plants
GCF_003722335.1	5.659202	5256	5098	69.5	Caulobacter flavus	1679497	Plants
GCF_003815915.1	4.253895	3957	3842	34.5	Chryseobacterium indoltheticum	254	Aquatic
GCF_003860345.1	4.358096	4129	4007	61.0	Caenibius tardaugens NBRC 16725	1219035	Wastewater
GCF_003860565.1	2.759562	2544	2474	33.0	Cloacibacterium normanense	237258	Aquatic
GCF_003966655.1	2.921399	3039	2888	58.5	Acidithiobacillus ferridurans	1232575	Terrestrial
GCF_004101845.1	1.916521	1992	1839	42.0	Latilactobacillus curvatus JCM 1096 = DSM 20019	1293592	Food production
GCF_004124315.2	4.125766	4224	3993	44.0	Bacillus cabrialesii	2487276	Plants
GCF_004154955.1	3.224506	3253	3155	59.5	Intestinimonas butyriciproducens	1297617	Mammals
GCF_004295125.1	3.65804	3771	3591	46.0	[Clostridium] scindens ATCC 35704	411468	Mammals: Human
GCF_004359375.1	1.61643	1604	1505	39.5	Acetilactobacillus jinshanensis	1720083	Food production
GCF_004803795.1	2.571679	2509	2373	44.5	Campylobacter rectus	203	Mammals: Human
GCF_004803815.1	2.097887	2091	2009	45.5	Campylobacter showae	204	Mammals: Human
GCF_005952805.1	4.084412	3842	3753	66.0	Inhella inkyongensis	392593	Aquatic
GCF_006459125.1	3.016922	3010	2937	30.0	Halarcobacter anaerophilus	877500	Aquatic
GCF_006711645.1	5.785203	5602	5308	55.0	Klebsiella electrica	1259973	Bioreactor
GCF_006739385.1	2.494738	2443	2323	60.0	Cutibacterium acnes subsp. acnes	1734925	Mammals: Human
GCF_007970465.1	3.173955	2894	2788	69.5	Corynebacterium nuruki S6-4	863239	Food production
GCF_007995155.1	4.916069	4682	4475	37.0	Cytobacillus dafuensis	1742359	Terrestrial
GCF_008298035.1	7.816689	5909	5810	50.5	Gimesia maris	122	Aquatic
GCF_008705175.1	5.940808	5296	5098	30.0	Clostridium diolis	223919	Terrestrial
GCF_009662475.1	3.415726	3618	3474	53.0	Acidithiobacillus thiooxidans ATCC 19377	637390	Terrestrial
GCF_009831375.1	3.549191	3563	3421	43.0	Mediterraneibacter gnavus ATCC 29149	411470	Mammals: Human
GCF_010509075.1	2.455328	2194	2101	60.5	Collinsella aerofaciens ATCC 25986	411903	Mammals: Human
GCF_010509575.1	3.102523	3009	2876	56.5	Faecalibacterium duncaniae	411483	Mammals: Human
GCF_010669205.1	6.197116	5818	5616	45.5	Blautia producta ATCC 27340 = DSM 2950	1121114	Mammals: Human
GCF_010977555.1	5.96391	5487	5326	68.5	Caulobacter rhizosphaerae	2010972	Plants
GCF_011067105.1	3.505947	3367	3266	66.0	Deinococcus wulumuqiensis R12	1288484	Terrestrial
GCF_012317185.1	4.718906	4626	4494	43.5	[Clostridium] innocuum	1522	Mammals: Human
GCF_013201625.1	2.276457	2289	2212	26.5	Aliarcobacter lanthieri	1355374	Solid waste
GCF_013340845.1	2.491293	2365	2307	44.0	Hydrogenovibrio marinus	28885	Aquatic
GCF_013372225.1	1.820334	1851	1775	29.0	Campylobacter ureolyticus	827	Mammals: Human
GCF_014058425.1	2.497143	2441	2349	35.5	Companilactobacillus pabuli	2714036	Food production
GCF_014131755.1	6.304193	4890	4718	43.0	Bacteroides thetaiotaomicron	818	Mammals: Human
GCF_014779555.2	6.239188	5184	5074	67.0	Lysobacter capsici	435897	Plants
GCF_014898175.1	2.965103	2396	2288	62.5	Bifidobacterium lemurum	1603886	Unclassified
GCF_015291705.1	9.865973	9393	9161	63.5	Bradyrhizobium arachidis	858423	Plants
GCF_015476235.1	3.858501	3672	3588	70.5	Caldimonas thermodepolymerans	215580	Wastewater
GCF_016026575.1	1.447017	1205	1146	42.5	Fannyhessea vaginae	82135	Mammals: Human
GCF_016027375.1	3.355233	3062	2908	28.5	Clostridium perfringens	1502	Mammals
GCF_016027855.1	4.554875	4275	4097	54.0	Atlantibacter hermannii	565	Plants
GCF_016127195.1	4.551079	4261	4077	59.0	Aeromonas jandaei	650	Mammals: Human
GCF_016127475.1	1.893964	1797	1716	29.0	Anaerococcus vaginalis	33037	Mammals: Human
GCF_016127955.1	3.190396	2675	2588	68.5	Actinomyces oris	544580	Mammals: Human
GCF_016728365.1	2.451854	2333	2221	59.5	Corynebacterium tuberculostearicum	38304	Mammals: Human
GCF_016889425.1	2.474943	2175	2077	58.5	Corynebacterium amycolatum	43765	Mammals: Human
GCF_016889465.1	2.493537	2434	2250	57.0	Corynebacterium macginleyi	38290	Mammals: Human
GCF_016894385.1	6.69475	6095	5931	67.0	Cupriavidus oxalaticus	96344	Wastewater
GCF_017161425.1	3.424851	3383	3301	68.0	Marinicauda algicola	2029849	Aquatic
GCF_017348915.1	4.395246	4294	4086	55.0	Leclercia pneumoniae	2815358	Mammals: Human
GCF_017894365.1	4.376837	4145	4020	65.5	Aromatoleum bremense	76115	Aquatic
GCF_017894385.1	5.407396	4937	4832	65.5	Aromatoleum petrolei	76116	Aquatic
GCF_018223745.1	5.950247	5343	5118	30.0	Clostridium beijerinckii	1520	Plants
GCF_019047765.1	5.021319	4876	4653	52.0	Citrobacter pasteurii	1563222	Mammals: Human
GCF_019048065.1	4.964815	4742	4581	53.5	Citrobacter farmeri	67824	Mammals: Human
GCF_019048125.1	5.281764	5036	4821	55.0	Klebsiella aerogenes	548	Mammals: Human
GCF_019048165.1	2.510261	2426	2323	61.5	Corynebacterium coyleae	53374	Mammals: Human
GCF_019048245.1	4.91593	4788	4591	55.0	Enterobacter hormaechei	158836	Mammals: Human
GCF_019343455.1	3.774827	3450	3347	57.0	Alcaligenes ammonioxydans	2582914	Mammals
GCF_019915265.1	3.806094	3821	3425	35.5	Bacillus aquiflavi	2672567	Aquatic
GCF_019930665.1	5.678582	4359	4198	40.5	Bacteroides nordii	291645	Mammals: Human
