accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_taxId	organism_name	environment	gene_density
GCF_000067205.1	5.28795	5121	4944	65.5	94624	Bordetella petrii	Bioreactor	968.43
GCF_000069225.1	3.403786	3311	3188	72.5	31964	Clavibacter sepedonicus	Plants	972.74
GCF_000092025.1	5.674258	5336	5177	59.0	176299	Agrobacterium fabrum str. C58	Plants	940.39
GCF_000143145.1	3.638969	3537	3465	61.0	582899	Hyphomicrobium denitrificans ATCC 51888	Aquatic	971.98
GCF_000143685.1	4.630065	4342	4182	31.0	748727	Clostridium ljungdahlii DSM 13528	Birds	937.78
GCF_000144605.1	3.445263	3391	3331	68.5	633149	Brevundimonas subvibrioides ATCC 15264	Aquatic	984.25
GCF_000146185.1	2.831389	2746	2644	37.5	515620	Lachnospira eligens ATCC 27750	Mammals: Human	969.84
GCF_000146505.1	3.843004	3184	3101	48.0	59374	Fibrobacter succinogenes subsp. succinogenes S85	Mammals	828.52
GCF_000163895.2	1.931012	1737	1653	35.5	546269	Filifactor alocis ATCC 35896	Mammals: Human	899.53
GCF_000164865.1	4.814049	4568	4414	57.0	701347	[Enterobacter] lignolyticus SCF1	Terrestrial	948.89
GCF_000164905.1	1.742932	1959	1897	44.0	608538	Hydrogenobacter thermophilus TK-6	Terrestrial	1123.97
GCF_000182745.2	3.513191	3388	3187	60.5	634177	Komagataeibacter medellinensis NBRC 3288	Food production	964.37
GCF_000184685.1	4.024382	3716	3625	70.5	710696	Intrasporangium calvum DSM 43043	Air	923.37
GCF_000190595.1	3.765936	3344	3276	32.0	867900	Cellulophaga lytica DSM 7489	Terrestrial	887.96
GCF_000192865.1	4.684316	4306	4154	44.0	717774	Marinomonas mediterranea MMB-1	Aquatic	919.24
GCF_000196175.1	3.78295	3601	3550	50.5	264462	Bdellovibrio bacteriovorus HD100	Terrestrial	951.9
GCF_000196275.1	3.247018	3172	3057	66.5	319795	Deinococcus geothermalis DSM 11300	Aquatic	976.9
GCF_000196435.1	2.642404	2335	2165	39.0	382640	Bartonella tribocorum CIP 105476	Mammals	883.67
GCF_000196555.1	2.385164	2033	1903	60.5	565042	Bifidobacterium longum subsp. longum JCM 1217	Mammals: Human	852.35
GCF_000196795.1	4.152543	3963	3813	38.5	436717	Acinetobacter oleivorans DR1	Terrestrial	954.35
GCF_000196855.1	1.95408	1981	1877	36.5	762550	Leuconostoc gasicomitatum LMG 18811	Food production	1013.78
GCF_000196875.2	4.061825	3808	3718	63.5	768066	Halomonas elongata DSM 2581	Aquatic	937.51
GCF_000197735.1	3.918192	3700	3531	59.5	861360	Glutamicibacter arilaitensis Re117	Food production	944.31
GCF_000202835.1	4.214744	4017	3857	67.0	926570	Acidiphilium multivorum AIU301	Terrestrial	953.08
GCF_000204645.1	5.070751	4904	4750	68.0	596154	Alicycliphilus denitrificans K601	Wastewater	967.12
GCF_000210915.2	3.437906	3325	3267	36.5	862908	Halobacteriovorax marinus SJ	Aquatic	967.16
GCF_000212695.1	4.266344	3870	3793	74.5	590998	Cellulomonas fimi ATCC 484	Terrestrial	907.1
GCF_000218565.1	3.896074	3751	3669	62.5	504832	Afipia carboxidovorans OM5	Wastewater	962.76
GCF_000219215.1	8.480857	7966	7576	65.5	1042878	Cupriavidus necator N-1	Terrestrial	939.29
GCF_000219915.2	4.423879	4468	3576	55.0	1036672	Advenella kashmirensis WT001	Terrestrial	1009.97
GCF_000220945.1	10.236779	9668	9478	71.5	713604	Amycolatopsis mediterranei S699	Terrestrial	944.44
GCF_000227465.1	4.207222	4301	4052	44.0	1052585	Bacillus spizizenii TU-B-10	Terrestrial	1022.29
GCF_000235405.2	2.166381	2057	1979	39.0	771875	Fervidobacterium pennivorans DSM 9078	Aquatic	949.51
GCF_000236665.1	3.80698	3588	3505	65.5	640081	Azospira oryzae PS	Terrestrial	942.48
GCF_000255295.1	10.080619	8167	8045	70.0	1144275	Corallococcus coralloides DSM 2259	Terrestrial	810.17
GCF_000264765.2	4.329652	4043	3805	58.5	667120	Edwardsiella anguillarum ET080813	Mammals: Human	933.79
GCF_000284295.1	8.773466	8187	8029	71.0	512565	Actinoplanes missouriensis 431	Terrestrial	933.15
GCF_000284615.1	3.98948	3681	3596	57.5	1163748	Marinobacter nauticus ATCC 49840	Aquatic	922.68
GCF_000300005.1	4.928223	4473	4397	61.5	930169	Alloalcanivorax dieselolei B5	Aquatic	907.63
GCF_000300455.3	4.902027	4689	4517	53.5	1235834	Kosakonia sacchari SP1	Plants	956.54
GCF_000313175.2	3.983611	3661	3489	42.0	758847	Leptospira santarosai serovar Shermani str. LT 821	Mammals	919.02
GCF_000317675.1	4.176973	3601	3487	35.0	755178	Cyanobacterium aponinum PCC 10605	Aquatic	862.11
GCF_000340885.1	6.666445	6004	5829	29.5	931276	Clostridium saccharoperbutylacetonicum N1-4(HMT)	Lab synthesis	900.63
GCF_000344785.1	2.928683	2770	2635	52.5	1121353	Corynebacterium callunae DSM 20147	Terrestrial	945.82
GCF_000355695.1	3.063596	2953	2874	73.0	1097677	Clavibacter nebraskensis NCPPB 2581	Food production	963.9
GCF_000470775.1	2.686418	2778	2431	68.5	1389489	Leifsonia xyli subsp. cynodontis DSM 46306	Plants	1034.09
GCF_000473995.1	5.107814	4549	4329	28.5	1345695	Clostridium saccharobutylicum DSM 13864	Plants	890.6
GCF_000478885.1	2.862526	2343	2274	63.5	1384484	Adlercreutzia equolifaciens DSM 19450	Mammals: Human	818.51
GCF_000508225.1	1.196717	952	887	29.5	1423892	Ehrlichia muris AS145	Mammals	795.51
GCF_000513295.1	4.365796	4182	4072	63.5	1430440	Magnetospirillum gryphiswaldense MSR-1 v2		957.9
GCF_000522985.1	7.479215	6454	6319	72.5	861299	Gemmatirosa kalamazoonensis		862.92
GCF_000590865.3	1.230251	1119	1037	36.5	34021	Candidatus Liberibacter asiaticus		909.57
GCF_000599985.1	3.139412	2840	2705	33.5	1196095	Gilliamella apicola		904.63
GCF_000695095.2	4.716552	3975	3903	64.5	1379270	Gemmatimonas phototrophica	Aquatic	842.78
GCF_000697965.2	7.267502	6947	6729	62.5	106592	Ensifer adhaerens	Terrestrial	955.9
GCF_000724605.1	2.159306	1816	1740	62.0	59505	Actinotignum schaalii	Mammals: Human	841.01
GCF_000730385.1	4.308833	3773	3677	45.0	589873	Alteromonas australica		875.64
GCF_000732925.1	9.053857	8607	8475	69.0	208439	Amycolatopsis japonica	Plants	950.64
GCF_000739435.1	2.501598	2343	2237	40.0	743972	Actinobacillus suis ATCC 33415	Mammals	936.6
GCF_000763515.1	2.919548	2907	2749	37.0	202751	Listeria ivanovii subsp. ivanovii		995.7
GCF_000800395.1	3.531443	3393	3316	67.5	57497	Deinococcus radiopugnans	Terrestrial	960.8
GCF_000807275.1	2.692351	2358	2253	34.0	1267021	Frischella perrara	Arthropoda: Insects	875.81
GCF_000807675.2	4.422837	4223	4115	47.0	1736	Eubacterium limosum	Laboratory developed	954.82
GCF_000819565.1	4.969388	4922	4808	65.5	1208324	Celeribacter indicus	Aquatic	990.46
GCF_000829055.1	2.952961	2892	2632	48.0	1423732	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393	Food production	979.36
GCF_000832905.1	3.366995	3354	3077	47.0	1121088	Heyndrickxia coagulans DSM 1 = ATCC 7050	Food production	996.14
GCF_000953635.1	3.310028	2957	2881	40.5	451	Legionella micdadei	Mammals: Human	893.35
GCF_000953655.1	3.570857	3229	3132	39.0	449	Legionella hackeliae	Mammals: Human	904.26
GCF_000959445.1	6.930496	6286	6051	67.0	1449978	Burkholderia vietnamiensis LMG 10929		907.01
GCF_000959545.1	7.528578	6767	6599	67.0	339670	Burkholderia ambifaria AMMD	Plants	898.84
GCF_000960995.1	6.820727	6077	5794	68.0	1176492	Burkholderia glumae LMG 2196 = ATCC 33617	Plants	890.96
GCF_000968375.1	5.74941	5307	5151	29.5	1548	Clostridium scatologenes		923.05
GCF_000973705.1	4.141984	3884	3699	28.0	1509	Clostridium sporogenes	Terrestrial	937.71
GCF_000980815.1	2.45181	2312	2217	59.5	161896	Corynebacterium camporealensis		942.98
GCF_001008165.2	3.475106	3316	3232	62.0	1267766	Croceibacterium atlanticum		954.22
GCF_001025155.1	2.021974	1643	1539	59.5	518635	Bifidobacterium angulatum DSM 20098 = JCM 7096	Mammals: Human	812.57
GCF_001025175.1	2.269415	2015	1876	59.0	518634	Bifidobacterium breve DSM 20213 = JCM 1192	Mammals: Human	887.89
GCF_001025195.1	2.079525	1783	1656	56.0	566552	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	Mammals: Human	857.41
GCF_001025215.1	2.313752	1899	1780	56.5	547043	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	Mammals: Human	820.74
GCF_001027285.1	12.489432	10013	9828	69.5	48	Archangium gephyra	Terrestrial	801.72
GCF_001028665.1	7.961346	7216	6985	66.5	60550	Burkholderia pyrrocinia	Terrestrial	906.38
GCF_001028705.1	3.863562	3913	3773	62.5	1348774	Croceicoccus naphthovorans		1012.8
GCF_001038625.1	5.752782	5291	5138	30.0	536227	Clostridium carboxidivorans P7	Wastewater	919.73
GCF_001040945.1	5.509723	4890	4801	63.5	964	Herbaspirillum seropedicae	Plants	887.52
GCF_001042595.1	2.635669	2194	2099	58.5	1150423	Bifidobacterium dentium JCM 1195 = DSM 20436	Unclassified	832.43
GCF_001042635.1	3.158347	2603	2484	64.5	1150461	Bifidobacterium scardovii JCM 12489 = DSM 13734		824.17
GCF_001042655.1	1.667406	1330	1260	41.5	585528	Gardnerella vaginalis ATCC 14018 = JCM 11026	Mammals: Human	797.65
GCF_001042715.1	4.207037	4002	3860	35.5	84022	Clostridium aceticum	Built environment	951.26
GCF_001050115.1	3.381292	3174	2971	41.0	1479	Bacillus smithii	Food production	938.69
GCF_001187595.1	2.803668	2984	2838	41.5	198467	Anoxybacillus gonensis		1064.32
GCF_001277175.1	4.436873	4218	4052	58.0	1074000	Cronobacter universalis NCTC 9529	Aquatic	950.67
GCF_001277195.1	4.364114	4106	3938	57.5	1159613	Cronobacter muytjensii ATCC 51329	Mammals: Human	940.86
GCF_001277215.2	4.473761	4300	4098	57.0	1159491	Cronobacter malonaticus LMG 23826	Mammals: Human	961.16
GCF_001277235.1	4.628405	4392	4233	58.0	1159554	Cronobacter dublinensis subsp. dublinensis LMG 23823	Food production	948.92
GCF_001298465.1	1.840041	1914	1821	37.5	199	Campylobacter concisus	Mammals: Human	1040.19
GCF_001302565.1	3.918424	3667	3560	60.0	1933880	Glutamicibacter halophytocola	Plants	935.84
GCF_001302585.1	11.75977	10939	10656	68.5	860235	Kibdelosporangium phytohabitans		930.21
GCF_001305595.1	7.609458	6789	6608	68.0	528244	Azospirillum thiophilum	Aquatic	892.18
GCF_001308265.1	3.096705	3109	3020	56.0	1397108	Celeribacter marinus		1003.97
GCF_001314995.1	6.472489	4927	4763	42.0	28116	Bacteroides ovatus	Mammals	761.22
GCF_001402875.1	3.724841	3329	3232	68.0	1079	Blastochloris viridis	Aquatic	893.73
GCF_001411805.1	8.081051	7073	6824	68.5	41899	Burkholderia plantarii		875.26
GCF_001414055.1	3.957288	3793	3677	66.0	69395	Caulobacter henricii	Aquatic	958.48
GCF_001441165.1	3.651382	3383	3252	69.0	1748	Acidipropionibacterium acidipropionici		926.5
GCF_001457455.1	2.463666	2381	2226	53.5	1717	Corynebacterium diphtheriae	Mammals: Human	966.45
GCF_001457555.1	2.45506	2401	2289	27.0	76857	Fusobacterium polymorphum		977.98
GCF_001482365.1	3.638342	3318	3200	74.0	446860	Kocuria flava		911.95
GCF_001484725.1	4.352446	4049	3909	31.0	1341692	Clostridium autoethanogenum DSM 10061	Mammals	930.28
GCF_001507665.1	3.264334	3305	3202	70.5	1768108	Deinococcus actinosclerus	Terrestrial	1012.46
GCF_001543105.1	1.63492	1596	1473	39.0	87541	Aerococcus christensenii		976.19
GCF_001543205.1	2.013339	1867	1770	39.5	51665	Aerococcus urinaeequi	Mammals	927.32
GCF_001543285.1	2.199877	2075	1925	39.5	1377	Aerococcus viridans		943.23
GCF_001547995.1	3.198265	2831	2735	60.0	1231624	Asaia bogorensis NBRC 16594		885.17
GCF_001553955.1	2.649137	2383	2260	43.5	34062	Faucicola osloensis	Mammals: Human	899.54
GCF_001562195.1	4.649146	3992	3883	43.5	233316	Alteromonas stellipolaris		858.65
GCF_001584145.1	5.599729	5074	4883	59.0	158899	Collimonas fungivorans		906.12
GCF_001610955.1	3.499317	3624	3373	52.5	33941	Geobacillus thermoleovorans	Terrestrial	1035.63
GCF_001618685.1	3.474426	3499	3247	52.0	129338	Geobacillus subterraneus		1007.07
GCF_001634285.1	3.158269	3348	3136	43.5	294699	Anoxybacteroides amylolyticum	Terrestrial	1060.07
GCF_001643775.1	2.44625	2008	1937	59.5	79604	Denitrobacterium detoxificans		820.85
GCF_001644705.1	4.919833	4286	4126	56.0	1225786	Dickeya solani IPO 2222	Plants	871.17
GCF_001658025.2	5.416158	5160	4977	54.0	497725	Kosakonia oryzae		952.7
GCF_001682385.1	4.451751	4129	4050	68.0	418699	Azoarcus olearius	Plants	927.5
GCF_001687475.2	1.520669	1534	1423	28.0	1813019	Campylobacter hepaticus	Unclassified	1008.77
GCF_001698225.1	5.701501	5106	4998	68.0	2055	Gordonia terrae	Mammals: Human	895.55
GCF_001719165.1	3.251353	3156	3073	65.0	39960	Erythrobacter litoralis		970.67
GCF_001720485.1	4.1764	3494	3371	62.5	28258	Cobetia marina	Aquatic	836.61
GCF_001729805.1	4.899997	4661	4458	56.0	1812935	Enterobacter roggenkampii	Mammals	951.23
GCF_001747425.1	6.306386	5434	5337	68.0	340345	Actinoalloteichus hymeniacidonis	Porifera	861.67
GCF_001750725.1	4.95277	4721	4540	54.5	299767	Enterobacter ludwigii	Mammals: Human	953.2
GCF_001856645.1	4.352852	4129	3955	30.0	1262449	Clostridium pasteurianum DSM 525 = ATCC 6013	Terrestrial	948.57
GCF_001887595.1	4.765486	4390	4305	64.5	1440763	Luteibacter rhizovicinus DSM 16549	Terrestrial	921.21
GCF_001888925.1	1.891796	1948	1688	50.0	1217420	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	Food production	1029.71
GCF_001891125.1	2.048833	2067	1946	37.5	1511761	Leuconostoc suionicum		1008.87
GCF_001936335.1	1.610352	1696	1571	43.5	1423721	Amylolactobacillus amylophilus DSM 20533 = JCM 1125	Animal feed production	1053.19
GCF_001941345.1	2.862233	2672	2557	55.0	1705	Corynebacterium stationis	Aquatic	933.54
GCF_001941425.1	2.790185	2552	2459	55.5	649754	Corynebacterium ammoniagenes DSM 20306	Mammals: Human	914.63
GCF_001941465.1	2.758653	2553	2431	60.0	28028	Corynebacterium flavescens	Food production	925.45
GCF_001941585.1	3.409143	3058	2980	38.5	446	Legionella pneumophila	Lab synthesis	897.0
GCF_001951155.1	4.007868	3577	3509	42.0	1229726	Christiangramia flava JLT2011	Aquatic	892.49
GCF_001971585.1	2.534178	2570	2470	35.5	1847728	Companilactobacillus allii	Food production	1014.14
GCF_002006355.2	5.242194	4870	4702	30.0	1121310	Clostridium felsineum DSM 794		929.0
GCF_002007645.1	4.250973	3477	3393	52.0	1936003	Anaerohalosphaera lusitana	Aquatic	817.93
GCF_002009335.2	4.455976	3906	3804	57.0	897	Desulfococcus multivorans	Wastewater	876.58
GCF_002023665.2	4.058311	3766	3682	35.5	1246994	Elizabethkingia anophelis R26	Arthropoda: Insects	927.97
GCF_002024805.1	4.433522	4170	4085	36.0	1756149	Elizabethkingia bruuniana	Mammals: Human	940.56
GCF_002043005.1	5.693067	5315	5153	62.5	1122214	Martelella mediterranea DSM 17316	Aquatic	933.59
GCF_002080395.1	1.871495	2030	1951	34.5	28898	Campylobacter helveticus	Mammals	1084.69
GCF_002080475.1	4.586728	4363	4140	35.5	1497	Clostridium formicaceticum	Wastewater	951.22
GCF_002096055.1	4.351649	4179	4101	71.0	1619308	Cnuibacter physcomitrellae	Plants	960.33
GCF_002097715.1	7.84083	7195	6975	67.0	265293	Burkholderia ubonensis subsp. mesacidophila	Terrestrial	917.63
GCF_002119805.1	2.363414	2496	2395	37.0	1855823	Macrococcoides canis		1056.1
GCF_002139935.1	1.594554	1648	1577	34.5	1031753	Campylobacter lanienae NCTC 13004		1033.52
GCF_002155265.1	2.337763	2123	2009	52.0	1719	Corynebacterium pseudotuberculosis	Mammals	908.13
GCF_002157205.1	3.667185	3336	3235	59.0	157779	Kushneria marisflavi		909.69
GCF_002201795.1	4.775573	3644	3565	39.5	889453	Alkalitalea saponilacus	Aquatic	763.05
GCF_002211785.1	2.19743	2478	2276	31.0	549298	Francisella halioticida	Mollusca	1127.68
GCF_002214645.1	4.061276	3833	3706	66.5	164759	Diaphorobacter nitroreducens	Bioreactor	943.79
GCF_002224645.1	3.766545	3672	3497	43.0	51515	Dehalobacterium formicoaceticum	Industrial production	974.9
GCF_002234535.1	6.606717	5462	5343	71.0	1470176	Actinoalloteichus hoggarensis	Terrestrial	826.73
GCF_002263515.1	5.24393	4703	4536	69.0	414996	Actinopolyspora erythraea	Terrestrial	896.85
GCF_002278135.3	8.589152	8030	7743	64.0	931866	Bradyrhizobium ottawaense	Plants	934.9
GCF_002285635.2	4.501946	3998	3879	35.5	558152	Chryseobacterium piperi		888.06
GCF_002291425.1	5.548506	5037	4832	56.0	929813	Gibbsiella quercinecans		907.81
GCF_002291445.1	5.36073	4769	4592	53.0	1109412	Brenneria goodwinii		889.62
GCF_002302565.1	2.414275	2135	2073	36.5	28188	Capnocytophaga canimorsus	Mammals: Human	884.32
GCF_002305895.1	8.973512	7358	7194	70.5	1189310	Corallococcus macrosporus DSM 14697	Terrestrial	819.97
GCF_002355375.1	4.11677	4226	3944	46.0	1500254	Aneurinibacillus soli		1026.53
GCF_002355475.1	6.242949	5828	5669	65.5	1149133	Metapseudomonas furukawaii	Terrestrial	933.53
GCF_002355595.1	7.814405	6210	6114	44.0	477680	Filimonas lacunae	Aquatic	794.69
GCF_002355835.1	1.13084	1208	1121	35.0	1408204	Candidatus Endomicrobiellum trichonymphae	Arthropoda: Insects	1068.23
GCF_002356555.2	2.83456	2609	2512	56.0	1052	Halorhodospira halochloris	Aquatic	920.43
GCF_002407065.1	3.953253	3524	3450	71.5	1331682	Brachybacterium ginsengisoli	Terrestrial	891.42
GCF_002441855.2	4.337501	4127	4010	48.0	2041044	Eubacterium maltosivorans	Mammals: Human	951.47
GCF_002706425.1	2.951508	2866	2719	43.0	913848	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	Food production	971.03
GCF_002706665.1	1.978157	1664	1575	63.5	1410605	Bifidobacterium pseudolongum subsp. globosum DSM 20092	Mammals	841.19
GCF_002706745.1	2.551839	2552	2465	36.5	936140	Companilactobacillus farciminis KCTC 3681 = DSM 20184	Food production	1000.06
GCF_002706795.1	5.400144	5002	4752	40.5	1121121	Brevibacillus laterosporus DSM 25	Aquatic	926.27
GCF_002715865.1	2.190368	1769	1674	60.0	1437594	Bifidobacterium asteroides DSM 20089	Arthropoda: Insects	807.63
GCF_002752675.1	7.530059	6575	6380	63.5	2045208	Massilia violaceinigra	Terrestrial	873.17
GCF_002770595.1	4.376354	4027	3928	42.0	1265445	Chryseobacterium camelliae	Plants	920.17
GCF_002804065.1	3.352175	3270	3141	58.5	2055160	Kyrpidia spormannii	Aquatic	975.49
GCF_002812485.1	5.032447	4460	4296	57.0	1778540	Dickeya fangzhongdai		886.25
GCF_002812705.1	6.425783	5843	5723	64.5	217203	Achromobacter spanius		909.31
GCF_002813755.1	3.504528	3282	3126	38.0	53346	Enterococcus mundtii	Terrestrial	936.5
GCF_002844395.1	3.604547	3340	3194	35.0	1677857	Acetivibrio saccincola	Bioreactor	926.61
GCF_002849715.1	5.032705	4682	4559	64.5	37928	Crystallibacter crystallopoietes	Terrestrial	930.31
GCF_002849895.1	2.401923	2353	2255	35.5	1423720	Companilactobacillus alimentarius DSM 20249	Food production	979.63
GCF_002872415.1	3.810309	3813	3758	41.0	960	Bacteriovorax stolpii		1000.71
GCF_002982115.1	4.681723	4635	4420	37.5	1421	Lysinibacillus sphaericus	Mammals: Human	990.02
GCF_003010495.1	2.478942	2339	2231	53.0	1064535	Megasphaera elsdenii DSM 20460	Mammals	943.55
GCF_003010915.2	3.502671	3277	3177	64.0	256821	Gulosibacter molinativorax		935.57
GCF_003015125.1	4.655467	4420	4246	67.5	88688	Caulobacter segnis	Terrestrial	949.42
GCF_003019295.1	2.180101	2068	1963	27.0	190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Mammals: Human	948.58
